"Plot","Entry","Name","Rep","Expt","ExptShort","T_mean","P_mean","RDTF","DTF","Predicted_RDTF","Predicted_DTF"
613,2,"CDC Rosie AGL","2","Sutherland, Canada 2016","Su16",16.7,15.9,0.017544,57,0.0180942651813956,55.2661293495463
928,2,"CDC Rosie AGL","3","Sutherland, Canada 2016","Su16",16.7,15.9,0.016949,59,0.0180942651813956,55.2661293495463
4190,2,"CDC Rosie AGL","1","Cordoba, Spain 2016","Sp16",12.5,10.9,0.008475,118,0.00816010422755625,122.547454311068
4505,2,"CDC Rosie AGL","2","Cordoba, Spain 2016","Sp16",12.5,10.9,0.008403,119,0.00816010422755625,122.547454311068
4771,2,"CDC Rosie AGL","3","Cordoba, Spain 2016","Sp16",12.5,10.9,0.008403,119,0.00816010422755625,122.547454311068
2396,2,"CDC Rosie AGL","1","Marchouch, Morocco 2016","Mo16",12,10.8,0.007812,128,0.00781479325527587,127.962438331288
2533,2,"CDC Rosie AGL","2","Marchouch, Morocco 2016","Mo16",12,10.8,0.007812,128,0.00781479325527587,127.962438331288
3008,2,"CDC Rosie AGL","3","Marchouch, Morocco 2016","Mo16",12,10.8,0.007812,128,0.00781479325527587,127.962438331288
3618,2,"CDC Rosie AGL","2","Bardiya, Nepal 2016","Ne16",19.2,11,0.007874,127,0.0106907326754672,93.5389584939089
2088,2,"CDC Rosie AGL","1","Cordoba, Spain 2017","Sp17",11.7,11.1,0.008264,121,0.00821627916306299,121.709593862826
2411,2,"CDC Rosie AGL","2","Cordoba, Spain 2017","Sp17",11.7,11.1,0.008264,121,0.00821627916306299,121.709593862826
2823,2,"CDC Rosie AGL","3","Cordoba, Spain 2017","Sp17",11.7,11.1,0.007692,130,0.00821627916306299,121.709593862826
2028,2,"CDC Rosie AGL","1","Bardiya, Nepal 2017","Ne17",19.4,10.8,0.008,125,0.0104230754036091,95.9409733957926
2361,2,"CDC Rosie AGL","2","Bardiya, Nepal 2017","Ne17",19.4,10.8,0.008264,121,0.0104230754036091,95.9409733957926
2694,2,"CDC Rosie AGL","3","Bardiya, Nepal 2017","Ne17",19.4,10.8,0.008065,124,0.0104230754036091,95.9409733957926
1250,2,"CDC Rosie AGL","1","Marchouch, Morocco 2017","Mo17",11.8,11.5,0.008333,120,0.00892782898707194,112.009313960658
1435,2,"CDC Rosie AGL","2","Marchouch, Morocco 2017","Mo17",11.8,11.5,0.008547,117,0.00892782898707194,112.009313960658
1776,2,"CDC Rosie AGL","3","Marchouch, Morocco 2017","Mo17",11.8,11.5,0.008547,117,0.00892782898707194,112.009313960658
400,2,"CDC Rosie AGL","2","Metaponto, Italy 2017","It17",11.2,10.8,0.007194,139,0.00753281680680741,132.75246506676
699,2,"CDC Rosie AGL","3","Metaponto, Italy 2017","It17",11.2,10.8,0.007246,138,0.00753281680680741,132.75246506676
2417,2,"CDC Rosie AGL","2","Central Ferry, USA 2018","Us18",15.8,14.3,0.015152,66,0.015071830605067,66.3489410280269
383,2,"CDC Rosie AGL","1","Jessore, Bangladesh 2016","Ba16",18.6,10.8,0.011236,89,0.0101410989551406,98.6086423595234
443,2,"CDC Rosie AGL","2","Jessore, Bangladesh 2016","Ba16",18.6,10.8,0.011111,90,0.0101410989551406,98.6086423595234
1008,2,"CDC Rosie AGL","3","Jessore, Bangladesh 2016","Ba16",18.6,10.8,0.011364,88,0.0101410989551406,98.6086423595234
3952,2,"CDC Rosie AGL","3","Bardiya, Nepal 2016","Ne16",19.2,11,0.008197,122,0.0106907326754672,93.5389584939089
6389,2,"CDC Rosie AGL","1","Rosthern, Canada 2017","Ro17",17.5,16.4,0.019608,51,0.019221620089802,52.0247510526206
6463,2,"CDC Rosie AGL","2","Rosthern, Canada 2017","Ro17",17.5,16.4,0.019608,51,0.019221620089802,52.0247510526206
6846,2,"CDC Rosie AGL","3","Rosthern, Canada 2017","Ro17",17.5,16.4,0.019608,51,0.019221620089802,52.0247510526206
5315,2,"CDC Rosie AGL","1","Sutherland, Canada 2017","Su17",15.7,16.1,0.016393,61,0.0180799460047852,55.3098996941325
5523,2,"CDC Rosie AGL","2","Sutherland, Canada 2017","Su17",15.7,16.1,0.016949,59,0.0180799460047852,55.3098996941325
6066,2,"CDC Rosie AGL","3","Sutherland, Canada 2017","Su17",15.7,16.1,0.017544,57,0.0180799460047852,55.3098996941325
291,2,"CDC Rosie AGL","1","Jessore, Bangladesh 2017","Ba17",21.7,11,0.011236,89,0.0115719090769311,86.4161646407614
342,2,"CDC Rosie AGL","2","Jessore, Bangladesh 2017","Ba17",21.7,11,0.011628,86,0.0115719090769311,86.4161646407614
787,2,"CDC Rosie AGL","3","Jessore, Bangladesh 2017","Ba17",21.7,11,0.012048,83,0.0115719090769311,86.4161646407614
2882,2,"CDC Rosie AGL","3","Central Ferry, USA 2018","Us18",15.8,14.3,0.014286,70,0.015071830605067,66.3489410280269
5405,2,"CDC Rosie AGL","1","Bhopal, India 2016","In16",17.6,10.9,0.011765,85,0.00995770408654266,100.424755677511
