Entry,Name,Origin,Source,Lat,Lon,Synonyms
157,PI 251248 LSP AGL,Egypt,USDA,NA,NA,IG 236;ILL 236
158,PI 273664 LSP AGL,Ethiopia,USDA,9.58333333,41.86666667,IG 247;ILL 247
159,PI 280686 AGL,Egypt,USDA,NA,NA,IG 249;ILL 249;GIZA 9
160,PI 283604 LSP AGL,Portugal,USDA,NA,NA,IG 1918;ILL 1918
161,PI 289066 AGL,Czech Republic,USDA,NA,NA,IG 256;ILL 256;SLOVENSKA KRAJOVA
162,PI 289073 LSP AGL,Hungary,USDA,NA,NA,IG 260;ILL 260;LENS 183;PALLAGI KEK
163,PI 289079 LSP AGL,Egypt,USDA,NA,NA,IG 265;ILL 265;LENS 139;PETITE ROUGE D'EGYPTE
164,PI 290716 LSP AGL,Unknown,USDA,NA,NA,IG 1921;ILL 1921
165,PI 297285 LSP AGL,Argentina,USDA,NA,NA,IG 269;ILL 269;LENTEJAS ESPECIALES GRANEL
166,PI 297287 AGL,Argentina,USDA,NA,NA,IG 270;ILL 270;LENTEJAS EXTRA SELECCIONADAS
167,PI 297754 LSP AGL,Greece,USDA,39.63333333,22.41666667,IG 286;ILL 286;F-36
168,PI 297767 AGL,Greece,USDA,NA,NA,IG 299;ILL 299;M-6157
169,PI 297772 LSP AGL,Greece,USDA,NA,NA,IG 304;ILL 304;M-6743
170,PI 297783 AGL,Ethiopia,USDA,NA,NA,IG 315;ILL 315;M-8258
171,PI 297787 LSP AGL,Russia,USDA,NA,NA,IG 319;ILL 319;M-8753
172,PI 298023 LSP AGL,Turkey,USDA,40.7,36.61666667,IG 329;ILL 329;SUBNUMMULARIA
173,PI 298121 LSP AGL,France,USDA,NA,NA,IG 335;ILL 335
174,PI 298122 LSP AGL,France,USDA,48.33333333,-1.16666667,IG 336;ILL 336
175,PI 298357 LSP AGL,Egypt,USDA,NA,NA,IG 337;ILL 337;GIZA
176,PI 298631 LSP AGL,Peru,USDA,-12.25,-74.75,IG 338;ILL 338
177,PI 298644 LSP AGL,Spain,USDA,NA,NA,IG 339;ILL 339
178,PI 298645 AGL,Spain,USDA,NA,NA,IG 340;ILL 340
179,PI 298921 AGL,Italy,USDA,NA,NA,IG 341;ILL 341;ALTAMURA
180,PI 298922 LSP AGL,Italy,USDA,NA,NA,IG 342;ILL 342;TIPO CASTELLUCCIO PICCOLE
181,PI 298923 LSP AGL,Italy,USDA,NA,NA,IG 343;ILL 343;TIPO TURCHE NO. 1
182,PI 299116 LSP AGL,Mexico,USDA,NA,NA,IG 347;ILL 347;Parc 160
183,PI 299120 LSP AGL,Mexico,USDA,NA,NA,IG 351;ILL 351;Parc 203
184,PI 299121 LSP AGL,Mexico,USDA,NA,NA,IG 352;ILL 352;Parc 207
185,PI 299126 LSP AGL,Mexico,USDA,NA,NA,IG 357;ILL 357;Parc 299
186,PI 299163 LSP AGL,Chile,USDA,-36.6,-72.11666667,IG 973;ILL 973;LP 54-22
187,PI 299164 LSP AGL,Chile,USDA,-36.6,-72.11666667,IG 75;ILL 75;IG 766;ILL 766;IG 899;ILL 899;PI 612871;P-1079;LP 54-34
188,PI 299165 AGL,Chile,USDA,-36.6,-72.11666667,IG 1924;ILL 1924;LP 54-75
189,PI 299177 LSP AGL,Chile,USDA,-36.6,-72.11666667,IG 374;ILL 374;LP 54-99
190,PI 299237 LSP AGL,Chile,USDA,-36.6,-72.11666667,IG 995;ILL 995;LP 54-1359
191,PI 299289 AGL,Chile,USDA,-36.6,-72.11666667,LP 54-2698
192,PI 299312 AGL,Chile,USDA,-33.93333333,-71.8,IG 435;ILL 435
193,PI 299345 AGL,Chile,USDA,-35.05,-71.55,IG 454;ILL 454
194,PI 299351 LSP AGL,Chile,USDA,-37.88333333,-71.18333333,
195,PI 299366 LSP AGL,Chile,USDA,-33.45,-70.66666667,IG 465;ILL 465;PL 59-1209
196,PI 299375 LSP AGL,Chile,USDA,-33.45,-70.66666667,IG 469;ILL 469;PL 59-1231
197,PI 300250 LSP AGL,Syria,USDA,36.39,37.18,ILL 472;IG 472
198,PI 302398 LSP AGL,Jordan,USDA,32.55555556,35.85,ILL 486;IG 486
199,PI 308614 LSP AGL,Syria,USDA,NA,NA,ILL 493;IG 493
200,PI 311107 LSP AGL,Guatemala,USDA,14.56666667,-90.73333333,IG 494;ILL 494;HSG 0965;LENTOJA
201,PI 312175 LSP AGL,Mexico,USDA,17.46666667,-97.23333333,IG 495;ILL 495;HSG 0965;LENTEJA
202,PI 320935 LSP AGL,Iran,USDA,NA,NA,IG 503;ILL 503;PI 345553;K-6;VIR 6;IRANSKAJA 6
203,PI 320936 LSP AGL,Russia,USDA,42,47,IG 504;ILL 504;K-15;VIR 15;DAGHESTANICA
204,PI 320937 LSP AGL,Germany,USDA,NA,NA,IG 505;ILL 505;PI 426766;K-29;VIR 29
205,CN 105866 AGL,Tunisia,PGRC,NA,NA,LENS 553;CN 105866
206,PI 320941 LSP AGL,Ethiopia,USDA,NA,NA,IG 509;ILL 509;K-359;VIR 359
207,PI 320945 LSP AGL,Bulgaria,USDA,NA,NA,IG 512;ILL 512;K-487VIR 487;ATC 70951
208,PI 320946 LSP AGL,Israel,USDA,NA,NA,IG 513;ILL 513;K-612;VIR 612
209,PI 320952 LSP AGL,Czech Republic,USDA,NA,NA,IG 519;ILL 519;K-2079;VIR 2079
210,PI 320953 LSP AGL,Germany,USDA,NA,NA,IG 520;ILL 520;K-2086;VIR 2086;SCHWARZE LINSE
211,PI 320954 LSP AGL,Hungary,USDA,NA,NA,IG 521;ILL 521;K-2101;VIR 2101;SLOVENIAN KRAYODA
212,PI 329157 LSP AGL,Iran,USDA,38.24944444,48.30138889,IG 522;ILL 522;IG 1012;ILL 1012;PI 431637;RPIP 33-071-10409
213,PI 329167 LSP AGL,Iran,USDA,35.23333333,58.41666667,IG 530;ILL 530;IG 751;ILL 751;IG 884;ILL 884;IG 1026;ILL 1026;P-1156;RPIP 33-071-10428
214,PI 339266 LSP AGL,Turkey,USDA,NA,NA,IG 537;ILL 537;YERLI KUQUK
215,PI 339283 LSP AGL,Turkey,USDA,37.21666667,30.3,IG 554;ILL 554
216,PI 339285 AGL,Turkey,USDA,37.21666667,30.3,IG 556;ILL 556
217,PI 339289 LSP AGL,Turkey,USDA,39.96666667,41.01666667,IG 560;ILL 560
218,PI 339292 LSP AGL,Turkey,USDA,40.91666667,32.08333333,IG 563;ILL 563;SIYAH
219,PI 339296 AGL,Turkey,USDA,37.76666667,38.6,IG 567;ILL 567;YERLI
220,PI 343026 LSP AGL,Tajikistan,USDA,NA,NA,IG 516;ILL 516;IG 598;ILL 598;IG 618;PI 320949;PI 345637;VIR 1834;K-1834;TADZIR'S 95;TADJIKSKAJA 95
221,PI 345627 LSP AGL,Ukraine,USDA,NA,NA,IG 608;ILL 608;VIR 1701;K-1701;NARIADNAYA 03
