"Entry","Name","Expt","ExptShort","DTF","RDTF","T_mean","P_mean","Predicted_DTF"
10,"CDC KR-1 AGL","Sutherland, Canada 2018","Su18",49.6666666666667,0.020136,17.6,16.1,53.2931736488178
10,"CDC KR-1 AGL","Central Ferry, USA 2018","Us18",67.3333333333333,0.0148633333333333,15.8,14.3,66.396632702302
10,"CDC KR-1 AGL","Bhopal, India 2016","In16",68.3333333333333,0.0150626666666667,17.6,10.9,91.3777804193946
10,"CDC KR-1 AGL","Bhopal, India 2017","In17",58.3333333333333,0.0172496666666667,20.6,10.7,81.2822593156466
10,"CDC KR-1 AGL","Jessore, Bangladesh 2016","Ba16",73,0.0137006666666667,18.6,10.8,88.1327197107362
10,"CDC KR-1 AGL","Jessore, Bangladesh 2017","Ba17",75,0.0133626666666667,21.7,11,74.8353622031531
10,"CDC KR-1 AGL","Bardiya, Nepal 2016","Ne16",120.666666666667,0.008317,19.2,11,83.4772072083572
10,"CDC KR-1 AGL","Bardiya, Nepal 2017","Ne17",121.666666666667,0.00822233333333333,19.4,10.8,84.8234308176863
10,"CDC KR-1 AGL","Cordoba, Spain 2016","Sp16",111.666666666667,0.00895833333333333,12.5,10.9,123.129237412312
10,"CDC KR-1 AGL","Cordoba, Spain 2017","Sp17",125.333333333333,0.00797966666666667,11.7,11.1,125.318517899662
10,"CDC KR-1 AGL","Marchouch, Morocco 2016","Mo16",119,0.008403,12,10.8,129.963248447741
10,"CDC KR-1 AGL","Marchouch, Morocco 2017","Mo17",117.333333333333,0.008523,11.8,11.5,115.78655449764
10,"CDC KR-1 AGL","Metaponto, Italy 2016","It16",130.666666666667,0.00765833333333333,10.6,10.8,144.512687871336
10,"CDC KR-1 AGL","Metaponto, Italy 2017","It17",134.666666666667,0.007428,11.2,10.8,137.896582396691
11,"CDC LeMay AGL","Rosthern, Canada 2016","Ro16",49.6666666666667,0.0201413333333333,17.2,16.2,51.5728523695201
11,"CDC LeMay AGL","Rosthern, Canada 2017","Ro17",48.6666666666667,0.0205496666666667,17.5,16.4,50.3025638715509
11,"CDC LeMay AGL","Sutherland, Canada 2016","Su16",53.6666666666667,0.0186353333333333,16.7,15.9,53.6615032375774
11,"CDC LeMay AGL","Sutherland, Canada 2017","Su17",55.6666666666667,0.0179653333333333,15.7,16.1,53.7662321825451
11,"CDC LeMay AGL","Sutherland, Canada 2018","Su18",48,0.0208513333333333,17.6,16.1,51.6322561927968
11,"CDC LeMay AGL","Central Ferry, USA 2018","Us18",65.6666666666667,0.0152926666666667,15.8,14.3,65.2530406403338
11,"CDC LeMay AGL","Bhopal, India 2016","In16",81,0.012393,17.6,10.9,102.119893176275
