"Entry","Name","a","b","c","d","RR","Environments","a_p.value","b_p.value","c_p.value","d_p.value"
193,"PI 299345 AGL",-0.0176044765020465,0.00024697196541989,0.00207953852326773,,0.877285362574468,15,8.22060251880623e-20,5.97406935565568e-05,5.20802506177826e-31,
193,"PI 299345 AGL",0.0113346517416902,-0.0014634690236533,-0.000547369673621529,0.000155434175717402,0.877454546739499,15,0.434111518120295,0.0909500172839624,0.676152641872915,0.0489451030228605
201,"PI 312175 LSP AGL",-0.0178847340565511,0.000312239222470171,0.00199741003966559,,0.899005827430076,15,6.2391316726263e-20,9.17535740565188e-07,6.83691542677007e-30,
201,"PI 312175 LSP AGL",0.0144101536246404,-0.00159534024472316,-0.000940487922639922,0.000173664139125734,0.902953401209649,15,0.317405566346427,0.0641745660037902,0.471350439790774,0.0277896930618597
210,"PI 320953 LSP AGL",-0.0168227503692977,0.000340047623853823,0.00182966635654052,,0.880473653001247,15,1.5803568475805e-19,2.69233577382608e-08,1.97178709387713e-29,
210,"PI 320953 LSP AGL",0.0240560804576821,-0.00207402361662185,-0.00188177794723747,0.000219366764162922,0.89751335174893,15,0.0896709105063849,0.0146309961867509,0.141588621587061,0.00484594111557488
211,"PI 320954 LSP AGL",-0.0169252039419747,0.000376054929217323,0.00185698768797987,,0.875595172488315,17,4.69731312883744e-20,2.13963777562178e-09,4.33869597202383e-30,
211,"PI 320954 LSP AGL",0.0165834515945425,-0.00160633980322432,-0.00118223620950282,0.000179948465505876,0.878272306788213,17,0.228463973420819,0.0511270857685587,0.341736084730926,0.0169527599875741
221,"PI 345627 LSP AGL",-0.0156942064464562,0.000359631196967857,0.00174611323165448,,0.899638606072853,18,7.17429677954004e-21,2.81766218205145e-10,4.16332447266164e-30,
221,"PI 345627 LSP AGL",0.0153661033443052,-0.00147747059770359,-0.00107043908009215,0.000166654028352521,0.900514430881623,18,0.189665097488839,0.0355429740833851,0.311096654740913,0.00973552822732784
222,"PI 358602 LSP AGL",-0.0193963476466141,0.000396497484890805,0.0020334660741981,,0.883663465529446,17,1.71848501371282e-21,1.48704115851696e-09,1.61519447659227e-29,
222,"PI 358602 LSP AGL",0.016737975130014,-0.00172729912412246,-0.00124851831108336,0.000192958973657814,0.893071270767472,17,0.294174306760693,0.0686708006011726,0.38750902432814,0.0263348162525902
224,"PI 368651 LSP AGL",-0.0192323865639387,0.000368483236778211,0.00203984051389415,,0.886189420819057,17,1.88308454367359e-21,3.00348477269386e-09,1.65730868085978e-30,
224,"PI 368651 LSP AGL",0.00990224758502915,-0.00135012688139788,-0.000607379727651446,0.000156262301352674,0.894591796952364,17,0.487521971397987,0.112199180688455,0.638316911670128,0.044635721910509
226,"PI 374116 LSP AGL",-0.0184882075287505,0.00039291349621114,0.00197054199846072,,0.911730011650259,17,4.19826520615661e-22,1.10371294986081e-10,5.49480795110336e-31,
226,"PI 374116 LSP AGL",0.0117369019777255,-0.00139327985231867,-0.000773595466328846,0.000162248007895974,0.912351522504986,17,0.383220267787487,0.0832381355415391,0.525330093620349,0.0276861210077355
229,"PI 374120 LSP AGL",-0.0161223099459046,0.000259522255645648,0.00193997589305789,,0.937509872380515,14,3.92649099413368e-22,2.22286613545267e-07,1.01872444871563e-34,
229,"PI 374120 LSP AGL",0.0100757921948717,-0.00128928547334987,-0.0004375088804125,0.00014069877446857,0.941311732791099,14,0.397442961162649,0.070240634144333,0.684262466480772,0.030530051570748
266,"PI 431888 LSP AGL",-0.0227018242677495,0.000340187794514436,0.00238802696293547,,0.92032648653053,15,5.4825086359495e-25,1.03872392248385e-07,2.22606656105202e-34,
266,"PI 431888 LSP AGL",0.00634762884254525,-0.0013767739222146,-0.000248895816765026,0.000156026738649849,0.923958191803367,15,0.65043826813367,0.100378293956967,0.844438956713557,0.0416041118274704
292,"PI 468901 AGL",-0.0156826851240779,0.000308412800508787,0.00178725488460004,,0.891857024984344,14,3.82876028669457e-18,1.63616196440497e-07,3.51269925170757e-28,
292,"PI 468901 AGL",0.0290833087003455,-0.00233519168470481,-0.00227936505231026,0.000240320191400784,0.914065753086238,14,0.0386642345294327,0.00571436105293026,0.0723883784739468,0.0019361148245319
313,"PI 518734 LSP AGL",-0.0142831233063409,0.000349466722373866,0.00163763665329572,,0.86752169952815,18,3.64166325780631e-16,4.47327746137651e-08,2.42689478763551e-25,
313,"PI 518734 LSP AGL",0.0177544150321869,-0.00155090643065947,-0.00127131974127576,0.000172614138351011,0.863528655431716,18,0.198228230859853,0.0605555348578073,0.307818332323395,0.0225089047222502
