"Entry","Name","Origin","Source","Synonyms"
135,"PI 178952 AGL","Turkey","USDA","ILL 167;IG 167;NEL 167;PI 178952 LSP;PI 178952"
136,"PI 178971 LSP AGL","Turkey","USDA","ILL 173;IG 173;PI 178971;NEL 173;PI 178971 LSP"
137,"PI 179324 LSP AGL","Turkey","USDA","ILL 185;IG 185;PI 179324;NEL 185;PI 179324 LSP"
138,"PI 179330 AGL","Turkey","USDA","ILL 186;IG 186;NEL 186;PI 179330 LSP;PI 179330"
139,"PI 181771 LSP AGL","Lebanon","USDA","ILL 191;IG 191;PI 181771;NEL 191;IG 932;ILL 932;P-472;NEL 932;PI 181771 LSP"
140,"PI 181886 LSP AGL",NA,"USDA","ILL 192;IG 192;PI 181886;NEL 192;PI 181886 LSP"
141,"PI 182217 LSP AGL","Turkey","USDA","ILL 196;IG 196;PI 182217;NEL 196;PI 182217 LSP"
142,"PI 193546 AGL","Ethiopia","USDA","ILL 203;IG 203;NEL 203;PI 193546"
143,"PI 193547 LSP AGL","Ethiopia","USDA","ILL 204;IG 204;PI 193547;NEL 204;PI 193547 LSP"
144,"PI 193548 LSP AGL","Ethiopia","USDA","ILL 205;IG 205;PI 193548;NEL 205;IG 934;ILL 934;P-494;NEL 934;PI 193548 LSP"
145,"PI 193550 AGL","Ethiopia","USDA","ILL 207;IG 207;IG 936;NEL 207;ILL 936;P-495;NEL 936;PI 193550"
146,"PI 207492 LSP AGL","Afghanistan","USDA","ILL 209;IG 209;PI 207492;NEL 209;IG 937;ILL 937;P-496;NEL 937;PI 207492 LSP"
147,"PI 518731 LSP AGL","Brazil","USDA","CNPH 84-021;PI 518731;PI 518731 LSP"
148,"PI 209858 LSP AGL",NA,"USDA","ILL 211;IG 211;PI 209858;NEL 211;IG 940;ILL 940;P-497;NEL 940;PI 209858 LSP"
149,"PI 211052 LSP AGL","Afghanistan","USDA","ILL 212;IG 212;PI 211052;NEL 212;IG 938;ILL 938;P-489;NEL 938;PI 211052 LSP"
