"Entry","Name","Origin","Source","Lat","Lon"
49,"IG 4258 AGL","India","ICARDA",NA,NA
50,"IG 4781 AGL","Algeria","ICARDA",NA,NA
51,"IG 858 AGL","Algeria","ICARDA",36.37,6.77
52,"ILL 10657 AGL","Turkey","ICARDA",NA,NA
53,"ILL 10748 AGL","ICARDA","ICARDA",NA,NA
54,"ILL 11547 AGL","Ethiopia","ICARDA",NA,NA
55,"ILL 11548 AGL","Ethiopia","ICARDA",NA,NA
56,"ILL 11553 AGL","India","ICARDA",NA,NA
57,"ILL 11555 AGL","India","ICARDA",NA,NA
58,"ILL 11557 AGL","India","ICARDA",NA,NA
59,"ILL 11558 AGL","India","ICARDA",NA,NA
60,"ILL 1220 AGL","Iran","ICARDA",29.6,52.52
61,"ILL 1553 AGL","Iran","ICARDA",32.68,51.68
62,"ILL 1762 AGL","Afghanistan","ICARDA",35.02,69.12
63,"ILL 1983 AGL","Ethiopia","ICARDA",NA,NA
64,"ILL 213 AGL","Afghanistan","ICARDA",32.37,62.12
65,"ILL 2194 AGL","Pakistan","ICARDA",35.68,73.87
66,"PI 431893 LSP AGL","Iran","USDA",NA,NA
67,"ILL 2507 AGL","India","ICARDA",NA,NA
68,"ILL 2580 AGL","India","ICARDA",NA,NA
69,"ILL 28 AGL","Syria","ICARDA",34.73,36.7
70,"ILL 3025 AGL","India","ICARDA",NA,NA
71,"ILL 313 AGL","Israel","ICARDA",32.8,34.98
72,"ILL 3347 AGL","India","ICARDA",NA,NA
73,"ILL 358 AGL","Ethiopia","ICARDA",NA,NA
74,"ILL 3597 AGL","India","ICARDA",NA,NA
75,"ILL 4164 AGL","India","ICARDA",NA,NA
76,"ILL 4400 AGL","Syria","ICARDA",NA,NA
77,"ILL 4605 AGL","Argentina","ICARDA",NA,NA
78,"ILL 4609 AGL","Pakistan","ICARDA",NA,NA
79,"ILL 4665 AGL","Hungary","ICARDA",NA,NA
80,"ILL 4671 AGL","USA","ICARDA",46.73,-117.16
81,"ILL 4768 AGL","Yemen","ICARDA",15.17,44
82,"ILL 4782 AGL","ICARDA","ICARDA",NA,NA
83,"ILL 4783 AGL","Czech Republic","ICARDA",NA,NA
84,"ILL 4804 AGL","Libya","ICARDA",NA,NA
85,"ILL 4875 AGL","Uzbekistan","ICARDA",NA,NA
86,"ILL 4956 AGL","Portugal","ICARDA",NA,NA
87,"ILL 5058 AGL","Spain","ICARDA",40.87,-1.93
88,"ILL 5151 AGL","India","ICARDA",22.57,88.35
89,"ILL 5209 AGL","Jordan","ICARDA",32.6,35.85
90,"ILL 5480 AGL","Czech Republic","ICARDA",NA,NA
