"Entry","Expt","ExptShort","DTF","Name","a","b","c","RR","Environments","aP","bP","cP","Cluster","MacroEnv","T_mean","P_mean","T_mean2","DTF_1","DTF_0","Diff","Increase","P_mean2"
187,"Marchouch, Morocco 2017","Mo17",117,"PI 299164 LSP AGL",-0.0204431191490778,0.000320228723425862,0.00225948254991043,0.886765825218409,18,7.37392601385616e-24,4.60562813481065e-08,5.22465621188322e-33,"4","Mediterranean",11.8,11.5,NA,104.760556813416,107.300407350508,2.53985053709241,"P",11.6
187,"Metaponto, Italy 2017","It17",139.666666666667,"PI 299164 LSP AGL",-0.0204431191490778,0.000320228723425862,0.00225948254991043,0.886765825218409,18,7.37392601385616e-24,4.60562813481065e-08,5.22465621188322e-33,"4","Mediterranean",11.2,10.8,NA,128.670282041515,132.523103119259,3.85282107774358,"P",10.9
188,"Rosthern, Canada 2017","Ro17",46.6666666666667,"PI 299165 AGL",-0.0195915276571836,0.000243019730866271,0.00225530131436682,0.9089442310131,14,7.65134681286309e-23,1.51130749809959e-05,1.40138981717123e-34,"7","Temperate",17.5,16.4,NA,45.7168159283839,46.1930906909583,0.476274762574384,"P",16.5
188,"Sutherland, Canada 2017","Su17",49.6666666666667,"PI 299165 AGL",-0.0195915276571836,0.000243019730866271,0.00225530131436682,0.9089442310131,14,7.65134681286309e-23,1.51130749809959e-05,1.40138981717123e-34,"7","Temperate",15.7,16.1,NA,48.1701058072089,48.6991642895276,0.529058482318696,"P",16.2
188,"Central Ferry, USA 2018","Us18",61.3333333333333,"PI 299165 AGL",-0.0195915276571836,0.000243019730866271,0.00225530131436682,0.9089442310131,14,7.65134681286309e-23,1.51130749809959e-05,1.40138981717123e-34,"7","Temperate",15.8,14.3,NA,59.7924376653653,60.6097600570291,0.817322391663872,"P",14.4
188,"Bhopal, India 2017","In17",NA,"PI 299165 AGL",-0.0195915276571836,0.000243019730866271,0.00225530131436682,0.9089442310131,14,7.65134681286309e-23,1.51130749809959e-05,1.40138981717123e-34,"7","South Asia",20.6,10.7,NA,102.333898588139,104.751497963706,2.41759937556643,"P",10.8
188,"Jessore, Bangladesh 2017","Ba17",NA,"PI 299165 AGL",-0.0195915276571836,0.000243019730866271,0.00225530131436682,0.9089442310131,14,7.65134681286309e-23,1.51130749809959e-05,1.40138981717123e-34,"7","South Asia",21.7,11,NA,93.3197513967905,95.3260225027682,2.0062711059777,"P",11.1
188,"Bardiya, Nepal 2017","Ne17",130.666666666667,"PI 299165 AGL",-0.0195915276571836,0.000243019730866271,0.00225530131436682,0.9089442310131,14,7.65134681286309e-23,1.51130749809959e-05,1.40138981717123e-34,"7","South Asia",19.4,10.8,NA,103.030758476368,105.48179037045,2.45103189408167,"P",10.9
188,"Cordoba, Spain 2017","Sp17",123,"PI 299165 AGL",-0.0195915276571836,0.000243019730866271,0.00225530131436682,0.9089442310131,14,7.65134681286309e-23,1.51130749809959e-05,1.40138981717123e-34,"7","Mediterranean",11.7,11.1,NA,117.492550385305,120.690623852082,3.19807346677726,"P",11.2
188,"Marchouch, Morocco 2017","Mo17",117.666666666667,"PI 299165 AGL",-0.0195915276571836,0.000243019730866271,0.00225530131436682,0.9089442310131,14,7.65134681286309e-23,1.51130749809959e-05,1.40138981717123e-34,"7","Mediterranean",11.8,11.5,NA,105.959137510108,108.553231723175,2.59409421306735,"P",11.6
