"Expt","DTF","RDTF","T_mean","P_mean","Predicted_DTF"
"Sutherland, Canada 2016",54,0.0185356666666667,16.7,15.9,52.40041006963
"Sutherland, Canada 2017",54,0.018531,15.7,16.1,52.4818020070561
"Sutherland, Canada 2018",47,0.021277,17.6,16.1,50.4168042287453
"Metaponto, Italy 2016",139.666666666667,0.007179,10.6,10.9,142.163839811202
"Metaponto, Italy 2017",147.666666666667,0.006773,11.2,10.8,140.997934632847
"Rosthern, Canada 2016",49.5,0.020204,17.2,16.1,50.1506286202562
"Rosthern, Canada 2017",51,0.019608,17.5,16.4,48.4178619914842
"Bardiya, Nepal 2016",125,0.0080045,19.2,11,85.2430858976106
"Bardiya, Nepal 2017",125.333333333333,0.00798766666666667,19.4,10.8,87.1050221095991
"Cordoba, Spain 2016",118.333333333333,0.008451,12.5,10.9,129.813286623503
"Cordoba, Spain 2017",129.333333333333,0.007732,11.7,11.1,129.121762603198
"Bhopal, India 2016",NA,0.011628,17.6,10.9,110.462713322015
"Bhopal, India 2017",73,0.0137216666666667,20.6,10.7,105.41923026787
"Marchouch, Morocco 2016",129.666666666667,0.007712,12,10.8,133.791969903841
"Marchouch, Morocco 2017",125.666666666667,0.007958,11.8,11.5,114.480928677778
"Jessore, Bangladesh 2016",NA,0.009615,18.6,10.8,96.5106263255993
"Jessore, Bangladesh 2017",86,0.0116323333333333,21.7,11,82.4768045367148
"Central Ferry, USA 2018",58.5,0.0171055,15.8,14.3,64.0390064169015
"Sutherland, Canada 2016",53,0.018882,16.7,15.9,48.3423777396879
"Sutherland, Canada 2017",53,0.0188726666666667,15.7,16.1,47.8985410777637
"Sutherland, Canada 2018",46,0.021746,17.6,16.1,46.7380532147767
"Metaponto, Italy 2016",129.333333333333,0.007735,10.6,10.9,137.798393864983
"Metaponto, Italy 2017",138.666666666667,0.00721133333333333,11.2,10.8,138.596438568035
"Rosthern, Canada 2016",46.6666666666667,0.021499,17.2,16.1,49.0821966932444
"Rosthern, Canada 2017",46.3333333333333,0.021585,17.5,16.4,47.3920788391056
