"Entry","Name","Expt","DTF","RDTF","T_mean","P_mean","Predicted_RDTF","Predicted_DTF"
6,"CDC Glamis AGL","Bhopal, India 2017",76,0.0131675,20.6,10.7,0.010833670098219,92.3048229209407
6,"CDC Glamis AGL","Jessore, Bangladesh 2016",83.6666666666667,0.011955,18.6,10.8,0.0102336494886308,97.7168507784991
6,"CDC Glamis AGL","Jessore, Bangladesh 2017",84,0.011905,21.7,11,0.0117825492864773,84.8712766385528
6,"CDC Glamis AGL","Bardiya, Nepal 2016",127,0.007883,19.2,11,0.0108146123086523,92.4674848676676
6,"CDC Glamis AGL","Bardiya, Nepal 2017",123,0.00813433333333333,19.4,10.8,0.0105433893215348,94.8461608979483
6,"CDC Glamis AGL","Cordoba, Spain 2016",115,0.00870133333333333,12.5,10.9,0.00804621223540956,124.282080902518
6,"CDC Glamis AGL","Cordoba, Spain 2017",128.333333333333,0.00779266666666667,11.7,11.1,0.00808513034784907,123.683843917994
6,"CDC Glamis AGL","Marchouch, Morocco 2016",128,0.007812,12,10.8,0.0076782958671728,130.237231971657
6,"CDC Glamis AGL","Marchouch, Morocco 2017",120.666666666667,0.00828766666666667,11.8,11.5,0.0088211637176491,113.363727509017
6,"CDC Glamis AGL","Metaponto, Italy 2016",131,0.00763733333333333,10.6,10.9,0.00731058013226256,136.788049909592
6,"CDC Glamis AGL","Metaponto, Italy 2017",141,0.00709633333333333,11.2,10.8,0.0073685560342688,135.711799618449
7,"CDC Gold AGL","Rosthern, Canada 2016",49.5,0.020204,17.2,16.1,0.0197527270254273,50.6259211051072
7,"CDC Gold AGL","Rosthern, Canada 2017",51,0.019608,17.5,16.4,0.0204544239203744,48.8891793722878
7,"CDC Gold AGL","Sutherland, Canada 2016",54,0.0185356666666667,16.7,15.9,0.0191590193128965,52.1947383458647
7,"CDC Gold AGL","Sutherland, Canada 2017",54,0.018531,15.7,16.1,0.0191231781125971,52.2925631980211
7,"CDC Gold AGL","Sutherland, Canada 2018",47,0.021277,17.6,16.1,0.0199206067355153,50.1992742127255
7,"CDC Gold AGL","Central Ferry, USA 2018",58.5,0.0171055,15.8,14.3,0.0157104253658325,63.6520002936922
7,"CDC Gold AGL","Bhopal, India 2016",NA,0.011628,17.6,10.9,0.00994029678757615,100.600618006682
7,"CDC Gold AGL","Bhopal, India 2017",73,0.0137216666666667,20.6,10.7,0.0108155365383157,92.4595831614405
7,"CDC Gold AGL","Jessore, Bangladesh 2016",NA,0.009615,18.6,10.8,0.0101680670253359,98.3471093874863
7,"CDC Gold AGL","Jessore, Bangladesh 2017",86,0.0116323333333333,21.7,11,0.0118529928534389,84.3668778311857
7,"CDC Gold AGL","Bardiya, Nepal 2016",125,0.0080045,19.2,11,0.0108037446653887,92.5604992501943
7,"CDC Gold AGL","Bardiya, Nepal 2017",125.333333333333,0.00798766666666667,19.4,10.8,0.010503826445512,95.2034008927553
7,"CDC Gold AGL","Cordoba, Spain 2016",118.333333333333,0.008451,12.5,10.9,0.00779983048395362,128.207914525485
7,"CDC Gold AGL","Cordoba, Spain 2017",129.333333333333,0.007732,11.7,11.1,0.00784792913869828,127.422149502979
7,"CDC Gold AGL","Marchouch, Morocco 2016",129.666666666667,0.007712,12,10.8,0.0073980518088832,135.170721405229
7,"CDC Gold AGL","Marchouch, Morocco 2017",125.666666666667,0.007958,11.8,11.5,0.00865761521606176,115.505248852453
7,"CDC Gold AGL","Metaponto, Italy 2016",139.666666666667,0.007179,10.6,10.9,0.00700240186103543,142.808142098279
7,"CDC Gold AGL","Metaponto, Italy 2017",147.666666666667,0.006773,11.2,10.8,0.00706229238870712,141.597082782786
8,"CDC Imax AGL","Rosthern, Canada 2016",46.6666666666667,0.021499,17.2,16.1,0.0206746313690621,48.3684561116973
8,"CDC Imax AGL","Rosthern, Canada 2017",46.3333333333333,0.021585,17.5,16.4,0.0214199331097391,46.6854865921745
8,"CDC Imax AGL","Sutherland, Canada 2016",53,0.018882,16.7,15.9,0.0200920313749601,49.7709754348811
8,"CDC Imax AGL","Sutherland, Canada 2017",53,0.0188726666666667,15.7,16.1,0.0202459705341423,49.3925444726706
8,"CDC Imax AGL","Sutherland, Canada 2018",46,0.021746,17.6,16.1,0.0207889409250407,48.1024985161932
8,"CDC Imax AGL","Central Ferry, USA 2018",57.3333333333333,0.0174773333333333,15.8,14.3,0.0163171304809785,61.285285495862
8,"CDC Imax AGL","Bhopal, India 2016",83,0.012048,17.6,10.9,0.00935640164769422,106.878695213607
8,"CDC Imax AGL","Bhopal, India 2017",NA,0.011765,20.6,10.7,0.0097740102684052,102.312149520912
8,"CDC Imax AGL","Jessore, Bangladesh 2016",NA,0.009615,18.6,10.8,0.00942231901307643,106.130985229028
8,"CDC Imax AGL","Jessore, Bangladesh 2017",93,0.010754,21.7,11,0.0107479311210395,93.04116194441
8,"CDC Imax AGL","Bardiya, Nepal 2016",123.333333333333,0.00811633333333333,19.2,11,0.0100334963961731,99.6661543010485
8,"CDC Imax AGL","Bardiya, Nepal 2017",128.666666666667,0.00777666666666667,19.4,10.8,0.00965093812503368,103.616869888129
8,"CDC Imax AGL","Cordoba, Spain 2016",118.666666666667,0.008427,12.5,10.9,0.00789895480896674,126.599027869462
8,"CDC Imax AGL","Cordoba, Spain 2017",126.666666666667,0.00789533333333333,11.7,11.1,0.00811004874613819,123.303821136239
8,"CDC Imax AGL","Marchouch, Morocco 2016",127.333333333333,0.00785366666666667,12,10.8,0.0075362113394291,132.69266942768
8,"CDC Imax AGL","Marchouch, Morocco 2017",120.666666666667,0.00828766666666667,11.8,11.5,0.00901805223339027,110.888690164978
8,"CDC Imax AGL","Metaponto, Italy 2016",129.333333333333,0.007735,10.6,10.9,0.00735598441806826,135.943735490213
8,"CDC Imax AGL","Metaponto, Italy 2017",138.666666666667,0.00721133333333333,11.2,10.8,0.00730759222747185,136.843979367191
9,"CDC Impower AGL","Rosthern, Canada 2016",48.3333333333333,0.0206913333333333,17.2,16.1,0.0197039960323684,50.7511267438985
9,"CDC Impower AGL","Rosthern, Canada 2017",48.6666666666667,0.0205496666666667,17.5,16.4,0.0203929017878595,49.0366702298018
9,"CDC Impower AGL","Sutherland, Canada 2016",54.3333333333333,0.0184066666666667,16.7,15.9,0.0191282992461062,52.2785631453128
