"Plot","Entry","Name","Rep","Expt","ExptShort","T_mean","P_mean","RDTF","DTF","Predicted_RDTF","Predicted_DTF"
613,2,"CDC Rosie AGL","2","Sutherland, Canada 2016","Su16",16.7,15.9,0.017544,57,0.0181250059401345,55.1723957113683
928,2,"CDC Rosie AGL","3","Sutherland, Canada 2016","Su16",16.7,15.9,0.016949,59,0.0181250059401345,55.1723957113683
4190,2,"CDC Rosie AGL","1","Cordoba, Spain 2016","Sp16",12.5,10.9,0.008475,118,0.00812927548851664,123.012192342675
4505,2,"CDC Rosie AGL","2","Cordoba, Spain 2016","Sp16",12.5,10.9,0.008403,119,0.00812927548851664,123.012192342675
4771,2,"CDC Rosie AGL","3","Cordoba, Spain 2016","Sp16",12.5,10.9,0.008403,119,0.00812927548851664,123.012192342675
2396,2,"CDC Rosie AGL","1","Marchouch, Morocco 2016","Mo16",12,10.8,0.007812,128,0.00778070093096603,128.523125213584
2533,2,"CDC Rosie AGL","2","Marchouch, Morocco 2016","Mo16",12,10.8,0.007812,128,0.00778070093096603,128.523125213584
3008,2,"CDC Rosie AGL","3","Marchouch, Morocco 2016","Mo16",12,10.8,0.007812,128,0.00778070093096603,128.523125213584
3618,2,"CDC Rosie AGL","2","Bardiya, Nepal 2016","Ne16",19.2,11,0.007874,127,0.0106934550480219,93.5151450592187
2088,2,"CDC Rosie AGL","1","Cordoba, Spain 2017","Sp17",11.7,11.1,0.008264,121,0.00818318444176004,122.201816067697
2411,2,"CDC Rosie AGL","2","Cordoba, Spain 2017","Sp17",11.7,11.1,0.008264,121,0.00818318444176004,122.201816067697
2823,2,"CDC Rosie AGL","3","Cordoba, Spain 2017","Sp17",11.7,11.1,0.007692,130,0.00818318444176004,122.201816067697
2028,2,"CDC Rosie AGL","1","Bardiya, Nepal 2017","Ne17",19.4,10.8,0.008,125,0.0104251327074925,95.9220403286858
2361,2,"CDC Rosie AGL","2","Bardiya, Nepal 2017","Ne17",19.4,10.8,0.008264,121,0.0104251327074925,95.9220403286858
2694,2,"CDC Rosie AGL","3","Bardiya, Nepal 2017","Ne17",19.4,10.8,0.008065,124,0.0104251327074925,95.9220403286858
1250,2,"CDC Rosie AGL","1","Marchouch, Morocco 2017","Mo17",11.8,11.5,0.008333,120,0.008898506945557,112.378403042018
1435,2,"CDC Rosie AGL","2","Marchouch, Morocco 2017","Mo17",11.8,11.5,0.008547,117,0.008898506945557,112.378403042018
1776,2,"CDC Rosie AGL","3","Marchouch, Morocco 2017","Mo17",11.8,11.5,0.008547,117,0.008898506945557,112.378403042018
400,2,"CDC Rosie AGL","2","Metaponto, Italy 2017","It17",11.2,10.8,0.007194,139,0.00749481641458479,133.425549697791
699,2,"CDC Rosie AGL","3","Metaponto, Italy 2017","It17",11.2,10.8,0.007246,138,0.00749481641458479,133.425549697791
2417,2,"CDC Rosie AGL","2","Central Ferry, USA 2018","Us18",15.8,14.3,0.015152,66,0.0150850381022084,66.2908501274257
383,2,"CDC Rosie AGL","1","Jessore, Bangladesh 2016","Ba16",18.6,10.8,0.011236,89,0.0101392481911113,98.6266418526635
443,2,"CDC Rosie AGL","2","Jessore, Bangladesh 2016","Ba16",18.6,10.8,0.011111,90,0.0101392481911113,98.6266418526635
1008,2,"CDC Rosie AGL","3","Jessore, Bangladesh 2016","Ba16",18.6,10.8,0.011364,88,0.0101392481911113,98.6266418526635
3952,2,"CDC Rosie AGL","3","Bardiya, Nepal 2016","Ne16",19.2,11,0.008197,122,0.0106934550480219,93.5151450592187
6389,2,"CDC Rosie AGL","1","Rosthern, Canada 2017","Ro17",17.5,16.4,0.019608,51,0.0192603741305773,51.920071397389
6463,2,"CDC Rosie AGL","2","Rosthern, Canada 2017","Ro17",17.5,16.4,0.019608,51,0.0192603741305773,51.920071397389
6846,2,"CDC Rosie AGL","3","Rosthern, Canada 2017","Ro17",17.5,16.4,0.019608,51,0.0192603741305773,51.920071397389
5315,2,"CDC Rosie AGL","1","Sutherland, Canada 2017","Su17",15.7,16.1,0.016393,61,0.0181074437642826,55.2259067054251
5523,2,"CDC Rosie AGL","2","Sutherland, Canada 2017","Su17",15.7,16.1,0.016949,59,0.0181074437642826,55.2259067054251
6066,2,"CDC Rosie AGL","3","Sutherland, Canada 2017","Su17",15.7,16.1,0.017544,57,0.0181074437642826,55.2259067054251
291,2,"CDC Rosie AGL","1","Jessore, Bangladesh 2017","Ba17",21.7,11,0.011236,89,0.0115868441617133,86.304776869644
342,2,"CDC Rosie AGL","2","Jessore, Bangladesh 2017","Ba17",21.7,11,0.011628,86,0.0115868441617133,86.304776869644
787,2,"CDC Rosie AGL","3","Jessore, Bangladesh 2017","Ba17",21.7,11,0.012048,83,0.0115868441617133,86.304776869644
2882,2,"CDC Rosie AGL","3","Central Ferry, USA 2018","Us18",15.8,14.3,0.014286,70,0.0150850381022084,66.2908501274257
5405,2,"CDC Rosie AGL","1","Bhopal, India 2016","In16",17.6,10.9,0.011765,85,0.00995178928044706,100.484442728783
5502,2,"CDC Rosie AGL","2","Bhopal, India 2016","In16",17.6,10.9,0.014493,69,0.00995178928044706,100.484442728783
1053,2,"CDC Rosie AGL","1","Bhopal, India 2017","In17",20.6,10.7,0.013333,75,0.0106840627472521,93.5973537086534
5304,3,"3156-11 AGL","1","Sutherland, Canada 2018","Su18",17.6,16.1,0.017544,57,0.017978786796414,55.6211056576663
5542,3,"3156-11 AGL","2","Sutherland, Canada 2018","Su18",17.6,16.1,0.018519,54,0.017978786796414,55.6211056576663
5882,3,"3156-11 AGL","3","Sutherland, Canada 2018","Su18",17.6,16.1,0.018868,53,0.017978786796414,55.6211056576663
1386,3,"3156-11 AGL","1","Metaponto, Italy 2016","It16",10.6,10.9,0.007407,135,0.00716104261122444,139.644469987173
1470,3,"3156-11 AGL","2","Metaponto, Italy 2016","It16",10.6,10.9,0.007519,133,0.00716104261122444,139.644469987173
1954,3,"3156-11 AGL","3","Metaponto, Italy 2016","It16",10.6,10.9,0.007463,134,0.00716104261122444,139.644469987173
1363,3,"3156-11 AGL","1","Rosthern, Canada 2016","Ro16",17.2,16.1,0.018519,54,0.0178345211912255,56.0710315280007
1554,3,"3156-11 AGL","2","Rosthern, Canada 2016","Ro16",17.2,16.1,0.018519,54,0.0178345211912255,56.0710315280007
1941,3,"3156-11 AGL","3","Rosthern, Canada 2016","Ro16",17.2,16.1,0.018182,55,0.0178345211912255,56.0710315280007
240,3,"3156-11 AGL","1","Sutherland, Canada 2016","Su16",16.7,15.9,0.017544,57,0.0173352239503402,57.6860156444865
484,3,"3156-11 AGL","2","Sutherland, Canada 2016","Su16",16.7,15.9,0.016667,60,0.0173352239503402,57.6860156444865
1072,3,"3156-11 AGL","3","Sutherland, Canada 2016","Su16",16.7,15.9,0.016667,60,0.0173352239503402,57.6860156444865
4191,3,"3156-11 AGL","1","Cordoba, Spain 2016","Sp16",12.5,10.9,0.007874,127,0.00784630423587012,127.448537545665
4523,3,"3156-11 AGL","2","Cordoba, Spain 2016","Sp16",12.5,10.9,0.008403,119,0.00784630423587012,127.448537545665
4786,3,"3156-11 AGL","3","Cordoba, Spain 2016","Sp16",12.5,10.9,0.008772,114,0.00784630423587012,127.448537545665
2289,3,"3156-11 AGL","1","Marchouch, Morocco 2016","Mo16",12,10.8,0.007812,128,0.00750648961218461,133.218062192052
2739,3,"3156-11 AGL","2","Marchouch, Morocco 2016","Mo16",12,10.8,0.007692,130,0.00750648961218461,133.218062192052
3070,3,"3156-11 AGL","3","Marchouch, Morocco 2016","Mo16",12,10.8,0.007692,130,0.00750648961218461,133.218062192052
3363,3,"3156-11 AGL","1","Bardiya, Nepal 2016","Ne16",19.2,11,0.00813,123,0.0104222357399784,95.9487028454101
3720,3,"3156-11 AGL","2","Bardiya, Nepal 2016","Ne16",19.2,11,0.008197,122,0.0104222357399784,95.9487028454101
2195,3,"3156-11 AGL","1","Cordoba, Spain 2017","Sp17",11.7,11.1,0.007692,130,0.00787673825989259,126.956103783704
2438,3,"3156-11 AGL","2","Cordoba, Spain 2017","Sp17",11.7,11.1,0.007634,131,0.00787673825989259,126.956103783704
2783,3,"3156-11 AGL","3","Cordoba, Spain 2017","Sp17",11.7,11.1,0.007692,130,0.00787673825989259,126.956103783704
2037,3,"3156-11 AGL","1","Bardiya, Nepal 2017","Ne17",19.4,10.8,0.007874,127,0.0101754033081731,98.2762028898433
2354,3,"3156-11 AGL","2","Bardiya, Nepal 2017","Ne17",19.4,10.8,0.007812,128,0.0101754033081731,98.2762028898433
2904,3,"3156-11 AGL","3","Bardiya, Nepal 2017","Ne17",19.4,10.8,0.008264,121,0.0101754033081731,98.2762028898433
1592,3,"3156-11 AGL","2","Marchouch, Morocco 2017","Mo17",11.8,11.5,0.007874,127,0.00855073512998895,116.949009038161
1659,3,"3156-11 AGL","3","Marchouch, Morocco 2017","Mo17",11.8,11.5,0.007874,127,0.00855073512998895,116.949009038161
29,3,"3156-11 AGL","1","Metaponto, Italy 2017","It17",11.2,10.8,0.006849,146,0.00721795840180748,138.54333099919
443,3,"3156-11 AGL","2","Metaponto, Italy 2017","It17",11.2,10.8,0.006849,146,0.00721795840180748,138.54333099919
691,3,"3156-11 AGL","3","Metaponto, Italy 2017","It17",11.2,10.8,0.006897,145,0.00721795840180748,138.54333099919
2916,3,"3156-11 AGL","3","Central Ferry, USA 2018","Us18",15.8,14.3,0.014286,70,0.014458904463469,69.1615331249014
278,3,"3156-11 AGL","1","Jessore, Bangladesh 2016","Ba16",18.6,10.8,0.011111,90,0.00988687209779594,101.144223381116
652,3,"3156-11 AGL","2","Jessore, Bangladesh 2016","Ba16",18.6,10.8,0.010989,91,0.00988687209779594,101.144223381116
