"Entry","Name","Expt","ExptShort","DTF","RDTF","T_mean","P_mean","Predicted_DTF"
11,"CDC LeMay AGL","Marchouch, Morocco 2017","Mo17",120,0.008333,11.8,11.5,111.129744479529
11,"CDC LeMay AGL","Metaponto, Italy 2016","It16",129.666666666667,0.00771433333333333,10.6,10.9,140.483096577997
11,"CDC LeMay AGL","Metaponto, Italy 2017","It17",142,0.00704366666666667,11.2,10.8,134.99372905262
12,"CDC Maxim AGL","Rosthern, Canada 2016","Ro16",48.6666666666667,0.0205496666666667,17.2,16.1,48.3030018894998
12,"CDC Maxim AGL","Rosthern, Canada 2017","Ro17",47,0.021283,17.5,16.4,46.6305227365998
12,"CDC Maxim AGL","Sutherland, Canada 2016","Su16",50.6666666666667,0.0197386666666667,16.7,15.9,50.564144850488
12,"CDC Maxim AGL","Sutherland, Canada 2017","Su17",54.3333333333333,0.0184106666666667,15.7,16.1,53.9117749659087
12,"CDC Maxim AGL","Sutherland, Canada 2018","Su18",47,0.021277,17.6,16.1,46.9991070169667
12,"CDC Maxim AGL","Central Ferry, USA 2018","Us18",60.3333333333333,0.0165756666666667,15.8,14.3,59.4466831844163
12,"CDC Maxim AGL","Bhopal, India 2016","In16",63,0.015873,17.6,10.9,63.000063000063
12,"CDC Maxim AGL","Bhopal, India 2017","In17",75,0.0134006666666667,20.6,10.7,50.0680903373343
12,"CDC Maxim AGL","Jessore, Bangladesh 2016","Ba16",84,0.011906,18.6,10.8,58.1227763435566
12,"CDC Maxim AGL","Jessore, Bangladesh 2017","Ba17",89.3333333333333,0.0111953333333333,21.7,11,45.7371998444521
12,"CDC Maxim AGL","Bardiya, Nepal 2016","Ne16",120,0.00836533333333333,19.2,11,54.7215539534713
12,"CDC Maxim AGL","Bardiya, Nepal 2017","Ne17",125.666666666667,0.007958,19.4,10.8,54.4850301763244
12,"CDC Maxim AGL","Cordoba, Spain 2016","Sp16",117,0.00855,12.5,10.9,116.959064327485
12,"CDC Maxim AGL","Cordoba, Spain 2017","Sp17",125.333333333333,0.00797966666666667,11.7,11.1,131.420891759137
12,"CDC Maxim AGL","Marchouch, Morocco 2016","Mo16",122.666666666667,0.00815233333333333,12,10.8,129.397312985752
12,"CDC Maxim AGL","Marchouch, Morocco 2017","Mo17",117,0.008547,11.8,11.5,122.422683981629
