"Entry","Expt","ExptShort","DTF","Name","a","b","c","RR","Environments","aP","bP","cP","Cluster","MacroEnv","T_mean","P_mean","T_mean2","DTF_1","DTF_0","Diff","Increase","P_mean2"
128,"Jessore, Bangladesh 2017","Ba17",80,"Laird AGL",-0.0149333661312725,0.000505862031012075,0.00154994937884329,0.843652366343831,18,1.52929050532199e-15,1.72817098720969e-11,2.09263652027968e-23,"8","South Asia",21.7,11,NA,75.4815075939445,76.3750383824851,0.893530788540545,"P",11.1
128,"Bardiya, Nepal 2017","Ne17",122.333333333333,"Laird AGL",-0.0149333661312725,0.000505862031012075,0.00154994937884329,0.843652366343831,18,1.52929050532199e-15,1.72817098720969e-11,2.09263652027968e-23,"8","South Asia",19.4,10.8,NA,84.9270928526951,86.0599228081675,1.13282995547242,"P",10.9
128,"Cordoba, Spain 2017","Sp17",128,"Laird AGL",-0.0149333661312725,0.000505862031012075,0.00154994937884329,0.843652366343831,18,1.52929050532199e-15,1.72817098720969e-11,2.09263652027968e-23,"8","Mediterranean",11.7,11.1,NA,119.837222589531,122.105224924744,2.2680023352127,"P",11.2
128,"Marchouch, Morocco 2017","Mo17",120,"Laird AGL",-0.0149333661312725,0.000505862031012075,0.00154994937884329,0.843652366343831,18,1.52929050532199e-15,1.72817098720969e-11,2.09263652027968e-23,"8","Mediterranean",11.8,11.5,NA,110.923543967669,112.863967641614,1.94042367394499,"P",11.6
128,"Metaponto, Italy 2017","It17",141,"Laird AGL",-0.0149333661312725,0.000505862031012075,0.00154994937884329,0.843652366343831,18,1.52929050532199e-15,1.72817098720969e-11,2.09263652027968e-23,"8","Mediterranean",11.2,10.8,NA,131.117674604963,133.837599367132,2.71992476216874,"P",10.9
129,"Rosthern, Canada 2017","Ro17",42.3333333333333,"LIRL-22-46 AGL",-0.0148880493861413,0.00089239626172543,0.00138701720111609,0.754738417665034,18,9.74518760480238e-06,1.99799067001245e-08,4.20085951657052e-09,"1","Temperate",17.5,16.4,NA,42.346560075518,42.5967538438998,0.250193768381855,"P",16.5
129,"Sutherland, Canada 2017","Su17",46,"LIRL-22-46 AGL",-0.0148880493861413,0.00089239626172543,0.00138701720111609,0.754738417665034,18,9.74518760480238e-06,1.99799067001245e-08,4.20085951657052e-09,"1","Temperate",15.7,16.1,NA,46.3129119517824,46.6123346996333,0.299422747850926,"P",16.2
129,"Central Ferry, USA 2018","Us18",51,"LIRL-22-46 AGL",-0.0148880493861413,0.00089239626172543,0.00138701720111609,0.754738417665034,18,9.74518760480238e-06,1.99799067001245e-08,4.20085951657052e-09,"1","Temperate",15.8,14.3,NA,52.1244376734536,52.5040286306132,0.379590957159621,"P",14.4
129,"Bhopal, India 2017","In17",49,"LIRL-22-46 AGL",-0.0148880493861413,0.00089239626172543,0.00138701720111609,0.754738417665034,18,9.74518760480238e-06,1.99799067001245e-08,4.20085951657052e-09,"1","South Asia",20.6,10.7,NA,54.1269077675555,54.5363390720012,0.409431304445732,"P",10.8
129,"Jessore, Bangladesh 2017","Ba17",58,"LIRL-22-46 AGL",-0.0148880493861413,0.00089239626172543,0.00138701720111609,0.754738417665034,18,9.74518760480238e-06,1.99799067001245e-08,4.20085951657052e-09,"1","South Asia",21.7,11,NA,50.3199330633846,50.6736075447451,0.353674481360564,"P",11.1
129,"Bardiya, Nepal 2017","Ne17",78.3333333333333,"LIRL-22-46 AGL",-0.0148880493861413,0.00089239626172543,0.00138701720111609,0.754738417665034,18,9.74518760480238e-06,1.99799067001245e-08,4.20085951657052e-09,"1","South Asia",19.4,10.8,NA,57.0030349408024,57.4573165600193,0.45428161921685,"P",10.9
129,"Cordoba, Spain 2017","Sp17",95.3333333333333,"LIRL-22-46 AGL",-0.0148880493861413,0.00089239626172543,0.00138701720111609,0.754738417665034,18,9.74518760480238e-06,1.99799067001245e-08,4.20085951657052e-09,"1","Mediterranean",11.7,11.1,NA,90.1910103485948,91.3335610732286,1.14255072463379,"P",11.2
129,"Marchouch, Morocco 2017","Mo17",84.3333333333333,"LIRL-22-46 AGL",-0.0148880493861413,0.00089239626172543,0.00138701720111609,0.754738417665034,18,9.74518760480238e-06,1.99799067001245e-08,4.20085951657052e-09,"1","Mediterranean",11.8,11.5,NA,85.2396758132684,86.2595125115641,1.01983669829569,"P",11.6
129,"Metaponto, Italy 2017","It17",106,"LIRL-22-46 AGL",-0.0148880493861413,0.00089239626172543,0.00138701720111609,0.754738417665034,18,9.74518760480238e-06,1.99799067001245e-08,4.20085951657052e-09,"1","Mediterranean",11.2,10.8,NA,97.7968689342,99.1416856427389,1.34481670853887,"P",10.9
130,"Rosthern, Canada 2017","Ro17",46,"PI 163589 AGL",-0.0180412482501976,0.000265659751996592,0.00209176048349152,0.902642816272468,14,4.60099872506568e-22,1.42490747617059e-06,3.2438681266275e-33,"7","Temperate",17.5,16.4,NA,47.3443480747554,47.817903290563,0.473555215807572,"P",16.5
130,"Sutherland, Canada 2017","Su17",53.3333333333333,"PI 163589 AGL",-0.0180412482501976,0.000265659751996592,0.00209176048349152,0.902642816272468,14,4.60099872506568e-22,1.42490747617059e-06,3.2438681266275e-33,"7","Temperate",15.7,16.1,NA,49.959708272872,50.4873196634445,0.527611390572467,"P",16.2
130,"Central Ferry, USA 2018","Us18",59.6666666666667,"PI 163589 AGL",-0.0180412482501976,0.000265659751996592,0.00209176048349152,0.902642816272468,14,4.60099872506568e-22,1.42490747617059e-06,3.2438681266275e-33,"7","Temperate",15.8,14.3,NA,61.4343943449416,62.2341406316335,0.799746286691892,"P",14.4
130,"Bhopal, India 2017","In17",NA,"PI 163589 AGL",-0.0180412482501976,0.000265659751996592,0.00209176048349152,0.902642816272468,14,4.60099872506568e-22,1.42490747617059e-06,3.2438681266275e-33,"7","South Asia",20.6,10.7,NA,99.776940043369,101.903768087857,2.12682804448838,"P",10.8
130,"Jessore, Bangladesh 2017","Ba17",NA,"PI 163589 AGL",-0.0180412482501976,0.000265659751996592,0.00209176048349152,0.902642816272468,14,4.60099872506568e-22,1.42490747617059e-06,3.2438681266275e-33,"7","South Asia",21.7,11,NA,91.3900540415822,93.1711710149234,1.78111697334121,"P",11.1
130,"Bardiya, Nepal 2017","Ne17",133.666666666667,"PI 163589 AGL",-0.0180412482501976,0.000265659751996592,0.00209176048349152,0.902642816272468,14,4.60099872506568e-22,1.42490747617059e-06,3.2438681266275e-33,"7","South Asia",19.4,10.8,NA,100.880279212104,103.054917088813,2.17463787670928,"P",10.9
130,"Cordoba, Spain 2017","Sp17",124,"PI 163589 AGL",-0.0180412482501976,0.000265659751996592,0.00209176048349152,0.902642816272468,14,4.60099872506568e-22,1.42490747617059e-06,3.2438681266275e-33,"7","Mediterranean",11.7,11.1,NA,117.720623642443,120.692598605969,2.97197496352574,"P",11.2
