"Entry","Name","Expt","ExptShort","MacroEnv","DTF","Tb","Pc","Tf_0","Tf_5","Tf","Pf_0","Pf_7","Pf","PTT","PTT_0","predicted_DTF_Tf","predicted_DTF_Pf","predicted_Pf","predicted_Tf"
211,"PI 320954 LSP AGL","Jessore, Bangladesh 2017","Ba17","South Asia",88.6666666666667,-8.94473960378244,4.74297320580805,1861.6,1413.26666666667,2663.66666666667,975.6,347.933333333333,550.333333333333,16411.8,20318.9,88,87,535.869808191427,2624.50382165509
211,"PI 320954 LSP AGL","Bardiya, Nepal 2016","Ne16","South Asia",115,-8.94473960378244,5.25342188926004,2053.2,1468.2,3099.8,1246.03333333333,427.066666666667,631.4,16794.3,21933.2333333333,100,101,535.869808191427,2624.50382165509
211,"PI 320954 LSP AGL","Bardiya, Nepal 2017","Ne17","South Asia",123.333333333333,-7.9652092098187,5.21258599458388,2328,1711.33333333333,3310.4,1309.56666666667,446.233333333333,666.666666666667,17921.6666666667,24746.2,100,104,535.869808191427,2624.50382165509
211,"PI 320954 LSP AGL","Cordoba, Spain 2016","Sp16","Mediterranean",117,-8.45497440680057,6.62142436091138,1396.9,806.9,2394.56666666667,1259.56666666667,433.566666666667,478.233333333333,10038.3,15244.4,126,127,535.869808191427,2624.50382165509
211,"PI 320954 LSP AGL","Cordoba, Spain 2017","Sp17","Mediterranean",125.666666666667,-9.4345048007643,6.78476793961602,1398.1,764.766666666667,2593.13333333333,1375.36666666667,488.7,516,10847.4333333333,15465.3333333333,128,129,535.869808191427,2624.50382165509
211,"PI 320954 LSP AGL","Marchouch, Morocco 2016","Mo16","Mediterranean",129.333333333333,-7.9652092098187,6.72351409760178,1503.8,852.133333333333,2542,1380.26666666667,467.933333333333,503.933333333333,9906,16003.0333333333,133,135,535.869808191427,2624.50382165509
211,"PI 320954 LSP AGL","Marchouch, Morocco 2017","Mo17","Mediterranean",125,-11.3935655886918,6.76434999227794,1441.33333333333,811.333333333333,2876.93333333333,1411.33333333333,529.333333333333,559,12963.9333333333,16344.6666666667,116,122,535.869808191427,2624.50382165509
211,"PI 320954 LSP AGL","Metaponto, Italy 2016","It16","Mediterranean",129.666666666667,-8.45497440680057,7.00936536033489,1300.3,646.966666666667,2405.06666666667,1357.56666666667,442.9,441.7,8507.63333333333,13887.3,140,146,535.869808191427,2624.50382165509
211,"PI 320954 LSP AGL","Metaponto, Italy 2017","It17","Mediterranean",141,-7.9652092098187,6.88685767630642,1501.56666666667,789.9,2635.26666666667,1504.93333333333,508.6,524.733333333333,10015.7666666667,16177.0333333333,141,144,535.869808191427,2624.50382165509
212,"PI 329157 LSP AGL","Rosthern, Canada 2016","Ro16","Temperate",44,-34.2971305507805,6.54449713149529,747.2,517.2,2324.9,727.333333333333,410,437,22147.9,12081.8,46.6666666666667,46.3333333333333,424.459765603311,2287.52586479501
212,"PI 329157 LSP AGL","Rosthern, Canada 2017","Ro17","Temperate",43.3333333333333,-35.9139098430724,6.48883090640874,736.633333333333,514.966666666667,2328.8,726.5,416.166666666667,438.833333333333,23051.3666666667,12071.3333333333,43,42,424.459765603311,2287.52586479501
212,"PI 329157 LSP AGL","Sutherland, Canada 2016","Su16","Temperate",47,-33.2192776892526,6.63727417330621,773.5,533.5,2368.1,752.5,416.5,433.9,21456.8,12177.3,46,47,424.459765603311,2287.52586479501
212,"PI 329157 LSP AGL","Sutherland, Canada 2017","Su17","Temperate",46.6666666666667,-34.2971305507805,6.82282825692806,731.266666666667,492.933333333333,2366.13333333333,759.4,425.733333333333,434.166666666667,21594.3333333333,11692.2666666667,46,46,424.459765603311,2287.52586479501
212,"PI 329157 LSP AGL","Sutherland, Canada 2018","Su18","Temperate",43,-34.2971305507805,6.47027549804655,754.3,534.3,2263.3,706,398,421.3,21712.7,12143.6,44,44,424.459765603311,2287.52586479501
212,"PI 329157 LSP AGL","Central Ferry, USA 2018","Us18","Temperate",53.3333333333333,-24.5964547970292,6.80427284856588,785.5,513.833333333333,2121.9,753.533333333333,373.2,383.866666666667,15126.2333333333,11030,57,59,424.459765603311,2287.52586479501
212,"PI 329157 LSP AGL","Bhopal, India 2016","In16","South Asia",76,-6.27295615105443,6.47027549804655,1315,930,1798,747.866666666667,362.866666666667,333.4,7806.5,12836.8333333333,59.3333333333333,58.6666666666667,424.459765603311,2287.52586479501
212,"PI 329157 LSP AGL","Bhopal, India 2017","In17","South Asia",74.6666666666667,-5.1951032895265,5.91361324718101,1573.06666666667,1194.73333333333,1966.16666666667,810.2,280.533333333333,362.7,9435.36666666667,16853.5333333333,88,87,424.459765603311,2287.52586479501
212,"PI 329157 LSP AGL","Jessore, Bangladesh 2016","Ba16","South Asia",79.6666666666667,-5.73402972029048,6.2847214144247,1478.03333333333,1074.7,1940.56666666667,864.233333333333,299.566666666667,357.3,8598.53333333333,15839,94,94,424.459765603311,2287.52586479501
212,"PI 329157 LSP AGL","Jessore, Bangladesh 2017","Ba17","South Asia",81.6666666666667,-6.8118825818184,5.70950375519698,1668.66666666667,1255.33333333333,2231.8,894.966666666667,316.3,422.966666666667,11450,18095.9333333333,84,82,424.459765603311,2287.52586479501
212,"PI 329157 LSP AGL","Bardiya, Nepal 2016","Ne16","South Asia",111,-6.8118825818184,6.1733889642516,1980.23333333333,1413.56666666667,2752.3,1202.76666666667,409.433333333333,503.066666666667,12274.2333333333,21072.2,96,98,424.459765603311,2287.52586479501
212,"PI 329157 LSP AGL","Bardiya, Nepal 2017","Ne17","South Asia",121.666666666667,-5.73402972029048,6.13627814752723,2292.66666666667,1684.33333333333,2990.3,1290.2,438.533333333333,543.633333333333,13384.2333333333,24335.5333333333,95,100,424.459765603311,2287.52586479501
212,"PI 329157 LSP AGL","Cordoba, Spain 2016","Sp16","Mediterranean",112.666666666667,-6.27295615105443,7.41660132451797,1323.13333333333,754.8,2036.13333333333,1204.26666666667,408.6,361.233333333333,6755.3,14302.1333333333,123,125,424.459765603311,2287.52586479501
212,"PI 329157 LSP AGL","Cordoba, Spain 2017","Sp17","Mediterranean",121.333333333333,-7.35080901258235,7.56504459141545,1322.2,710.533333333333,2221.46666666667,1318.3,462,392.866666666667,7350.03333333333,14464.5,125,128,424.459765603311,2287.52586479501
212,"PI 329157 LSP AGL","Marchouch, Morocco 2016","Mo16","Mediterranean",126,-5.73402972029048,7.5093783663289,1454.5,819.5,2182.7,1339.2,450.1,385.5,6682.4,15394.2,132,134,424.459765603311,2287.52586479501
212,"PI 329157 LSP AGL","Marchouch, Morocco 2017","Mo17","Mediterranean",118,-9.50651473563821,7.54648918305327,1331.33333333333,736.333333333333,2462.6,1319.53333333333,486.533333333333,421.466666666667,8863,14902.7333333333,111,119,424.459765603311,2287.52586479501
212,"PI 329157 LSP AGL","Metaponto, Italy 2016","It16","Mediterranean",131.333333333333,-6.27295615105443,7.76915408339948,1323.26666666667,661.6,2153.33333333333,1378.33333333333,452,350.266666666667,6089.2,14172.8,138,145,424.459765603311,2287.52586479501
212,"PI 329157 LSP AGL","Metaponto, Italy 2017","It17","Mediterranean",143.333333333333,-5.73402972029048,7.65782163322637,1545.33333333333,822,2374.83333333333,1536.06666666667,523.4,428.233333333333,7382.8,16760.9666666667,141,144,424.459765603311,2287.52586479501
213,"PI 329167 LSP AGL","Rosthern, Canada 2016","Ro16","Temperate",45.3333333333333,-35.058155762998,6.37281335981243,773.133333333333,536.466666666667,2432.6,760.166666666667,428.833333333333,458.533333333333,23630.1,12481.5,50,50,440.933500833882,2368.86290147884
213,"PI 329167 LSP AGL","Rosthern, Canada 2017","Ro17","Temperate",45,-36.6698701577982,6.31697220067757,771.833333333333,541.833333333333,2458.63333333333,754,432,463.4,24769.6666666667,12652.0333333333,44,43,440.933500833882,2368.86290147884
213,"PI 329167 LSP AGL","Sutherland, Canada 2016","Su16","Temperate",46.6666666666667,-33.9836794997978,6.46588195837055,766.733333333333,528.4,2386.6,747,413.333333333333,438.766666666667,22019.3,12065.6666666667,47,47,440.933500833882,2368.86290147884
213,"PI 329167 LSP AGL","Sutherland, Canada 2017","Su17","Temperate",49,-35.058155762998,6.65201915548677,764.7,514.7,2517.66666666667,797.933333333333,447.933333333333,465.366666666667,23472.2333333333,12244.7333333333,47,47,440.933500833882,2368.86290147884
213,"PI 329167 LSP AGL","Sutherland, Canada 2018","Su18","Temperate",43,-35.058155762998,6.29835848096594,754.3,534.3,2296.8,706,398,428.9,22428.2,12143.6,45,45,440.933500833882,2368.86290147884
213,"PI 329167 LSP AGL","Central Ferry, USA 2018","Us18","Temperate",53.6666666666667,-25.3878693941962,6.63340543577515,792.9,519.566666666667,2180.76666666667,758.566666666667,375.9,395.966666666667,15934.0666666667,11141.6,58,59,440.933500833882,2368.86290147884
213,"PI 329167 LSP AGL","Bhopal, India 2016","In16","South Asia",84,-7.1217729197929,6.29835848096594,1486.3,1061.3,2091.7,778.366666666667,374.7,387.7,9582.1,13489.8,59.3333333333333,58.6666666666667,440.933500833882,2368.86290147884
213,"PI 329167 LSP AGL","Bhopal, India 2017","In17","South Asia",72.6666666666667,-6.0472966565927,5.73994688961727,1538.56666666667,1170.23333333333,1984.06666666667,788.333333333333,272.666666666667,365.466666666667,9855.26666666667,16476.4,88,88,440.933500833882,2368.86290147884
213,"PI 329167 LSP AGL","Jessore, Bangladesh 2016","Ba16","South Asia",83.3333333333333,-6.5845347881928,6.11222128384972,1542.53333333333,1120.86666666667,2097.83333333333,904.8,314.466666666667,389.366666666667,9688.83333333333,16553.3666666667,94,94,440.933500833882,2368.86290147884
213,"PI 329167 LSP AGL","Jessore, Bangladesh 2017","Ba17","South Asia",80.3333333333333,-7.659011051393,5.53519597278942,1633.2,1226.53333333333,2256.13333333333,879.7,310.366666666667,429.466666666667,11939.4666666667,17690.1666666667,84,83,440.933500833882,2368.86290147884
213,"PI 329167 LSP AGL","Bardiya, Nepal 2016","Ne16","South Asia",115.333333333333,-7.659011051393,6.00053896557998,2073,1483,2976.76666666667,1257.43333333333,431.433333333333,549.366666666667,13927.1,22158.6333333333,96,98,440.933500833882,2368.86290147884
213,"PI 329167 LSP AGL","Bardiya, Nepal 2017","Ne17","South Asia",119,-6.5845347881928,5.96331152615674,2235.83333333333,1640.83333333333,3019.36666666667,1259.43333333333,426.4,549.833333333333,13967.1666666667,23679.9333333333,95,100,440.933500833882,2368.86290147884
213,"PI 329167 LSP AGL","Cordoba, Spain 2016","Sp16","Mediterranean",113.333333333333,-7.1217729197929,7.24765818625869,1333.76666666667,762.1,2148,1212.73333333333,412.4,384.066666666667,7505.7,14437.0666666667,122,124,440.933500833882,2368.86290147884
213,"PI 329167 LSP AGL","Cordoba, Spain 2017","Sp17","Mediterranean",119,-8.19624918299309,7.39656794395167,1286,686,2269.5,1287.8,447.8,400.2,7759.3,13990.8,124,127,440.933500833882,2368.86290147884
213,"PI 329167 LSP AGL","Marchouch, Morocco 2016","Mo16","Mediterranean",120.333333333333,-6.5845347881928,7.34072678481681,1393.5,786.833333333333,2192.46666666667,1270.3,420.9,379.633333333333,6923.46666666667,14653.5666666667,130,133,440.933500833882,2368.86290147884
