"Entry","Name","a","b","c","RR","Environments","aP","bP","cP"
12,"CDC Maxim AGL",-0.0180532492907693,0.000377849395780002,0.0019799862035814,0.814746563555786,18,4.20100085513011e-16,6.91372797903865e-07,1.35852685917879e-25
13,"CDC QG-1 AGL",-0.0171116325163288,0.00041194579067229,0.001799444536991,0.904662716181344,17,4.60439962462864e-21,2.32221126102562e-11,6.11028364709163e-30
14,"CDC Red Rider AGL",-0.0166256584592162,0.000391449191475835,0.00180769454025702,0.837412835448887,16,2.42060322448924e-18,4.51374277951682e-09,3.77816965263167e-27
15,"CDC Redcoat AGL",-0.0160647611504432,0.000286331004743166,0.00188380983661771,0.91207946244166,15,1.25912052180674e-20,1.35487732807145e-07,3.70509291200732e-32
16,"CDC Redwing AGL",-0.0173462215417338,0.000289989119241891,0.00199279358423723,0.901421980399598,15,2.54077548892487e-20,1.82060482115539e-06,4.96300183343628e-31
17,"CDC Robin AGL",-0.0193752049611241,0.000403179006686624,0.00204193040994993,0.878606901964061,17,2.07306392252839e-21,6.34753729616707e-10,3.82433487700056e-30
18,"CDC Rosebud AGL",-0.0169810942075596,0.000600202012235336,0.00164988741548377,0.763848090350848,18,4.72840218139093e-11,1.97682341019907e-08,5.8898445711442e-17
19,"CDC Rosetown AGL",-0.015001295379388,0.000339324692472721,0.00171684228306684,0.90268729148108,16,1.62716265424752e-20,3.11664735893009e-10,2.84627142775359e-31
20,"CDC Rouleau AGL",-0.0172482068329264,0.000339959133811101,0.0019180355107852,0.856067111134147,18,8.23384581410683e-19,8.28756702863527e-08,4.70027318714261e-28
21,"CDC Royale AGL",-0.0168158666703119,0.000431768810539494,0.00179921924317573,0.84981604462289,17,3.67348610790853e-18,1.56862311824749e-10,3.45962594790751e-27
22,"CDC Ruby AGL",-0.0167468135460962,0.000623612369253648,0.00163748539985065,0.744126417909377,18,1.04731042350368e-10,1.11676799322222e-08,6.98358204277774e-17
23,"CDC SB-1 AGL",-0.0229206490203663,0.00050117372832556,0.00227755834883368,0.827288926325741,18,4.6396714610983e-19,5.34828990452136e-09,1.08698296988225e-26
24,"CDC Sedley AGL",-0.0166220831432196,0.000436800006852478,0.0017926373874875,0.792980534433901,18,5.24718012939962e-15,2.85713239035373e-08,9.77037864378177e-24
25,"CDC Vantage AGL",-0.0177234394676013,0.000529634455620229,0.00179886419321869,0.790577143486859,18,3.68248271792158e-13,2.5416470539763e-08,1.72990426346812e-20
26,"CN 105604 AGL",-0.0190648234955032,0.000433815698055241,0.00211167493403117,0.831745307019178,18,2.59643587094414e-17,3.80236546884762e-08,1.14433211358157e-26
27,"CN 105605 AGL",-0.0244338759991083,0.00057271246149762,0.00235566196926844,0.825604489344944,18,9.62849467211694e-18,6.79903290036465e-09,7.77887515270508e-25
28,"CN 105715 AGL",-0.0253740373269967,0.000484004174355146,0.00254172422382636,0.865354268543196,18,1.4220854477742e-22,1.3302546012337e-09,1.14774001185739e-30
29,"CN 105732 AGL",-0.0193045423086255,0.000563888284380044,0.00188139465173836,0.849415090754765,18,2.93376874934071e-16,2.62196824926704e-10,2.53294698366906e-23
30,"CN 105767 AGL",-0.0235281745950061,0.000592602124569651,0.00229356367799264,0.846763212932456,18,1.63277145870525e-17,1.65963518670678e-09,8.77604255841761e-25
31,"CN 105777 AGL",-0.0205612972082617,0.00063139801200969,0.00208974526684819,0.841087817192973,18,1.41851270847196e-17,5.87384879358555e-12,7.67573036795758e-26
32,"CN 105789 AGL",-0.0201672674542649,0.000441779275740531,0.00226803192182117,0.774434763526178,18,6.71164393707378e-15,1.68280409398058e-06,1.31729719235987e-24
