"Entry","Name","Expt","ExptShort","MacroEnv","DTF","Tb","Pc","Tf_0","Tf_5","Tf","Pf_0","Pf_7","Pf","PTT","PTT_0","predicted_DTF_Tf","predicted_DTF_Pf","predicted_Pf","predicted_Tf"
309,"PI 490288 LSP AGL","Bardiya, Nepal 2016","Ne16","South Asia",110.333333333333,-6.1846119213919,5.25439136245089,1958.23333333333,1396.56666666667,2653,1191.66666666667,405.333333333333,601.4,14257.4666666667,20827.1666666667,98,98,517.003751190768,2284.16873020431
309,"PI 490288 LSP AGL","Bardiya, Nepal 2017","Ne17","South Asia",123.333333333333,-5.30099406564389,5.20912292458513,2328.33333333333,1711.66666666667,2982.1,1309.53333333333,446.2,667.1,16157.2,24749.5,96,100,517.003751190768,2284.16873020431
309,"PI 490288 LSP AGL","Cordoba, Spain 2016","Sp16","Mediterranean",118.666666666667,-5.7428029935179,6.77088403095367,1426.43333333333,828.1,2113.7,1280.9,443.233333333333,470.666666666667,8667.5,15623.0333333333,126,127,517.003751190768,2284.16873020431
309,"PI 490288 LSP AGL","Cordoba, Spain 2017","Sp17","Mediterranean",128,-6.62642084926591,6.95195778241668,1434.95,789.95,2289.8,1172.6,467.966666666667,509.15,9345.8,14679.8333333333,99.3333333333333,100.333333333333,517.003751190768,2284.16873020431
309,"PI 490288 LSP AGL","Marchouch, Morocco 2016","Mo16","Mediterranean",128,-5.30099406564389,6.88405512561805,1482.2,837.2,2166.1,1363.8,460.8,475.7,8053.9,15736.1,134,136,517.003751190768,2284.16873020431
309,"PI 490288 LSP AGL","Marchouch, Morocco 2017","Mo17","Mediterranean",121.333333333333,-8.39365656076192,6.92932356348381,1385.93333333333,774.266666666667,2412.73333333333,1363.06666666667,506.733333333333,515.366666666667,10336.9,15614.8,117,122,517.003751190768,2284.16873020431
309,"PI 490288 LSP AGL","Metaponto, Italy 2016","It16","Mediterranean",134.333333333333,-5.30099406564389,7.20093419067833,1367.33333333333,690.666666666667,2084.7,1417.13333333333,469.8,442.6,7243.9,14743.6,146,147,517.003751190768,2284.16873020431
309,"PI 490288 LSP AGL","Metaponto, Italy 2017","It17","Mediterranean",145.333333333333,-5.30099406564389,7.06512887708107,1583.96666666667,850.633333333333,2361.4,1562.73333333333,536.066666666667,526.5,8876,17275.7333333333,143,145,517.003751190768,2284.16873020431
310,"PI 490289 LSP AGL","Rosthern, Canada 2016","Ro16","Temperate",45,-47.1526871600371,6.80783209908372,766.4,531.4,2982.6,754.7,425.7,434.8,27654.4,12371.5,50,51,425.600355192257,2916.10273600581
310,"PI 490289 LSP AGL","Rosthern, Canada 2017","Ro17","Temperate",45.6666666666667,-48.5230350464661,6.76404759691883,786.766666666667,553.433333333333,3051.2,765,438.333333333333,449.366666666667,29378.9666666667,12898.0666666667,44,44,425.600355192257,2916.10273600581
310,"PI 490289 LSP AGL","Sutherland, Canada 2016","Su16","Temperate",48.3333333333333,-45.0971653303935,6.88080626935853,801.3,554.633333333333,3026.13333333333,774.5,429.166666666667,435,26740.3666666667,12636.0333333333,47,48,425.600355192257,2916.10273600581
310,"PI 490289 LSP AGL","Sutherland, Canada 2017","Su17","Temperate",48.3333333333333,-46.4675132168225,7.02675460990815,756.666666666667,510,3049.06666666667,786.933333333333,441.6,440.266666666667,27254.2333333333,12111.9333333333,47,47,425.600355192257,2916.10273600581
