"Entry","Name","Expt","ExptShort","DTF","RDTF","T_mean","P_mean","Predicted_RDTF","Predicted_DTF"
4,"CDC Greenstar AGL","Metaponto, Italy 2017","It17",138.666666666667,0.00721133333333333,11.2,10.8,0.00767562520589522,130.282546786151
5,"CDC Cherie AGL","Rosthern, Canada 2016","Ro16",49,0.0204136666666667,17.2,16.1,0.0203138143122465,49.2275839794958
5,"CDC Cherie AGL","Rosthern, Canada 2017","Ro17",47.6666666666667,0.020981,17.5,16.4,0.0211783956720604,47.2179297943352
5,"CDC Cherie AGL","Sutherland, Canada 2016","Su16",51,0.019628,16.7,15.9,0.0194819998586286,51.3294326689515
5,"CDC Cherie AGL","Sutherland, Canada 2017","Su17",54.3333333333333,0.0184106666666667,15.7,16.1,0.0189571733592641,52.750480308886
5,"CDC Cherie AGL","Sutherland, Canada 2018","Su18",47.6666666666667,0.0209873333333333,17.6,16.1,0.0206755852330418,48.3662246426713
5,"CDC Cherie AGL","Central Ferry, USA 2018","Us18",61,0.0163963333333333,15.8,14.3,0.0157922096315008,63.3223610459993
5,"CDC Cherie AGL","Bhopal, India 2016","In16",NA,0.011628,17.6,10.9,0.0103408510418299,96.7038395539103
5,"CDC Cherie AGL","Bhopal, India 2017","In17",67.3333333333333,0.0149326666666667,20.6,10.7,0.0110466355146919,90.5253005469412
5,"CDC Cherie AGL","Jessore, Bangladesh 2016","Ba16",97.5,0.0102565,18.6,10.8,0.0105198025555538,95.0588183303941
5,"CDC Cherie AGL","Jessore, Bangladesh 2017","Ba17",87,0.0115066666666667,21.7,11,0.0121696453931024,82.1716629941235
5,"CDC Cherie AGL","Bardiya, Nepal 2016","Ne16",122.5,0.0081635,19.2,11,0.0111757127937244,89.4797511762778
5,"CDC Cherie AGL","Bardiya, Nepal 2017","Ne17",125.333333333333,0.00797966666666667,19.4,10.8,0.0108219596771669,92.4047057863175
5,"CDC Cherie AGL","Cordoba, Spain 2016","Sp16",112.333333333333,0.008906,12.5,10.9,0.0083639139653223,119.5612489734
5,"CDC Cherie AGL","Cordoba, Spain 2017","Sp17",122.666666666667,0.008155,11.7,11.1,0.00833402380256507,119.990058066815
5,"CDC Cherie AGL","Marchouch, Morocco 2016","Mo16",121,0.008264,12,10.8,0.00802700630224525,124.579446227704
5,"CDC Cherie AGL","Marchouch, Morocco 2017","Mo17",117,0.008547,11.8,11.5,0.00893918549387357,111.867015253833
5,"CDC Cherie AGL","Metaponto, Italy 2016","It16",126.333333333333,0.00792266666666667,10.6,10.9,0.00762740799564302,131.106137310503
5,"CDC Cherie AGL","Metaponto, Italy 2017","It17",136.666666666667,0.00731966666666667,11.2,10.8,0.0077248491806321,129.452365556498
6,"CDC Glamis AGL","Rosthern, Canada 2016","Ro16",52,0.0192633333333333,17.2,16.1,0.0191861008342346,52.1210645477094
6,"CDC Glamis AGL","Rosthern, Canada 2017","Ro17",50,0.0200053333333333,17.5,16.4,0.0200765826342145,49.8092737304704
6,"CDC Glamis AGL","Sutherland, Canada 2016","Su16",56,0.017857,16.7,15.9,0.0182753863988928,54.7184053006169
6,"CDC Glamis AGL","Sutherland, Canada 2017","Su17",59,0.0169593333333333,15.7,16.1,0.0174826528669139,57.1995570473466
6,"CDC Glamis AGL","Sutherland, Canada 2018","Su18",50,0.0200053333333333,17.6,16.1,0.0196403536255201,50.9155801910119
6,"CDC Glamis AGL","Central Ferry, USA 2018","Us18",63.3333333333333,0.0158033333333333,15.8,14.3,0.0147493806744757,67.7994569446927
6,"CDC Glamis AGL","Bhopal, India 2016","In16",NA,0.011628,17.6,10.9,0.0100338255487245,99.6628848233383
6,"CDC Glamis AGL","Bhopal, India 2017","In17",76,0.0131675,20.6,10.7,0.0106787333757175,93.6440647796215
6,"CDC Glamis AGL","Jessore, Bangladesh 2016","Ba16",83.6666666666667,0.011955,18.6,10.8,0.0102019830733558,98.0201587093075
6,"CDC Glamis AGL","Jessore, Bangladesh 2017","Ba17",84,0.011905,21.7,11,0.011786552283579,84.8424523083989
6,"CDC Glamis AGL","Bardiya, Nepal 2016","Ne16",127,0.007883,19.2,11,0.010830463374859,92.3321528718078
6,"CDC Glamis AGL","Bardiya, Nepal 2017","Ne17",123,0.00813433333333333,19.4,10.8,0.0104843018327038,95.3806954394133
6,"CDC Glamis AGL","Cordoba, Spain 2016","Sp16",115,0.00870133333333333,12.5,10.9,0.00815872381640839,122.568188665592
6,"CDC Glamis AGL","Cordoba, Spain 2017","Sp17",128.333333333333,0.00779266666666667,11.7,11.1,0.00805980308605917,124.072510124928
6,"CDC Glamis AGL","Marchouch, Morocco 2016","Mo16",128,0.007812,12,10.8,0.00787285330873471,127.018751751735
