"Plot","Entry","Name","Rep","Expt","ExptShort","T_mean","P_mean","RDTF","DTF","Predicted_RDTF","Predicted_DTF"
5315,2,"CDC Rosie AGL","1","Sutherland, Canada 2017","Su17",15.7,16.1,0.016393,61,0.0169329628692055,59.0564101347328
5523,2,"CDC Rosie AGL","2","Sutherland, Canada 2017","Su17",15.7,16.1,0.016949,59,0.0169329628692055,59.0564101347328
6066,2,"CDC Rosie AGL","3","Sutherland, Canada 2017","Su17",15.7,16.1,0.017544,57,0.0169329628692055,59.0564101347328
291,2,"CDC Rosie AGL","1","Jessore, Bangladesh 2017","Ba17",21.7,11,0.011236,89,0.0115604172013886,86.5020684443711
342,2,"CDC Rosie AGL","2","Jessore, Bangladesh 2017","Ba17",21.7,11,0.011628,86,0.0115604172013886,86.5020684443711
787,2,"CDC Rosie AGL","3","Jessore, Bangladesh 2017","Ba17",21.7,11,0.012048,83,0.0115604172013886,86.5020684443711
2882,2,"CDC Rosie AGL","3","Central Ferry, USA 2018","Us18",15.8,14.3,0.014286,70,0.0144014916427148,69.4372516964841
5405,2,"CDC Rosie AGL","1","Bhopal, India 2016","In16",17.6,10.9,0.011765,85,0.00995928380251012,100.408826561199
5502,2,"CDC Rosie AGL","2","Bhopal, India 2016","In16",17.6,10.9,0.014493,69,0.00995928380251012,100.408826561199
1053,2,"CDC Rosie AGL","1","Bhopal, India 2017","In17",20.6,10.7,0.013333,75,0.0104611985351722,95.5913413398897
5304,3,"3156-11 AGL","1","Sutherland, Canada 2018","Su18",17.6,16.1,0.017544,57,0.0184310398811633,54.2562984209052
5542,3,"3156-11 AGL","2","Sutherland, Canada 2018","Su18",17.6,16.1,0.018519,54,0.0184310398811633,54.2562984209052
5882,3,"3156-11 AGL","3","Sutherland, Canada 2018","Su18",17.6,16.1,0.018868,53,0.0184310398811633,54.2562984209052
1386,3,"3156-11 AGL","1","Metaponto, Italy 2016","It16",10.6,10.8,0.007407,135,0.00721454371715393,138.608904347244
1470,3,"3156-11 AGL","2","Metaponto, Italy 2016","It16",10.6,10.8,0.007519,133,0.00721454371715393,138.608904347244
1954,3,"3156-11 AGL","3","Metaponto, Italy 2016","It16",10.6,10.8,0.007463,134,0.00721454371715393,138.608904347244
1363,3,"3156-11 AGL","1","Rosthern, Canada 2016","Ro16",17.2,16.2,0.018519,54,0.0181773717422414,55.0134537698954
1554,3,"3156-11 AGL","2","Rosthern, Canada 2016","Ro16",17.2,16.2,0.018519,54,0.0181773717422414,55.0134537698954
1941,3,"3156-11 AGL","3","Rosthern, Canada 2016","Ro16",17.2,16.2,0.018182,55,0.0181773717422414,55.0134537698954
240,3,"3156-11 AGL","1","Sutherland, Canada 2016","Su16",16.7,15.9,0.017544,57,0.0171827943029861,58.1977519119934
484,3,"3156-11 AGL","2","Sutherland, Canada 2016","Su16",16.7,15.9,0.016667,60,0.0171827943029861,58.1977519119934
1072,3,"3156-11 AGL","3","Sutherland, Canada 2016","Su16",16.7,15.9,0.016667,60,0.0171827943029861,58.1977519119934
4191,3,"3156-11 AGL","1","Cordoba, Spain 2016","Sp16",12.5,10.9,0.007874,127,0.00794307434033666,125.895837953043
4523,3,"3156-11 AGL","2","Cordoba, Spain 2016","Sp16",12.5,10.9,0.008403,119,0.00794307434033666,125.895837953043
4786,3,"3156-11 AGL","3","Cordoba, Spain 2016","Sp16",12.5,10.9,0.008772,114,0.00794307434033666,125.895837953043
2289,3,"3156-11 AGL","1","Marchouch, Morocco 2016","Mo16",12,10.8,0.007812,128,0.00767793998982945,130.2432685492
2739,3,"3156-11 AGL","2","Marchouch, Morocco 2016","Mo16",12,10.8,0.007692,130,0.00767793998982945,130.2432685492
3070,3,"3156-11 AGL","3","Marchouch, Morocco 2016","Mo16",12,10.8,0.007692,130,0.00767793998982945,130.2432685492
3363,3,"3156-11 AGL","1","Bardiya, Nepal 2016","Ne16",19.2,11,0.00813,123,0.0104397937275507,95.7873331693319
3720,3,"3156-11 AGL","2","Bardiya, Nepal 2016","Ne16",19.2,11,0.008197,122,0.0104397937275507,95.7873331693319
2195,3,"3156-11 AGL","1","Cordoba, Spain 2017","Sp17",11.7,11.1,0.007692,130,0.0078454162139067,127.462963434293
2438,3,"3156-11 AGL","2","Cordoba, Spain 2017","Sp17",11.7,11.1,0.007634,131,0.0078454162139067,127.462963434293
2783,3,"3156-11 AGL","3","Cordoba, Spain 2017","Sp17",11.7,11.1,0.007692,130,0.0078454162139067,127.462963434293
2037,3,"3156-11 AGL","1","Bardiya, Nepal 2017","Ne17",19.4,10.8,0.007874,127,0.0101273202882571,98.7428037759922
2354,3,"3156-11 AGL","2","Bardiya, Nepal 2017","Ne17",19.4,10.8,0.007812,128,0.0101273202882571,98.7428037759922
2904,3,"3156-11 AGL","3","Bardiya, Nepal 2017","Ne17",19.4,10.8,0.008264,121,0.0101273202882571,98.7428037759922
1592,3,"3156-11 AGL","2","Marchouch, Morocco 2017","Mo17",11.8,11.5,0.007874,127,0.00824358823724035,121.306398527101
1659,3,"3156-11 AGL","3","Marchouch, Morocco 2017","Mo17",11.8,11.5,0.007874,127,0.00824358823724035,121.306398527101
