"Expt","ExptShort","MacroEnv","Entry","Name","Cluster","DTF_0","DTF_1","Difference","Treatment"
"Bhopal, India 2017","In17","South Asia",12,"CDC Maxim AGL","3",91.6600901481881,87.1978383035065,4.4622518446816,"T + 1.5"
"Jessore, Bangladesh 2017","Ba17","South Asia",12,"CDC Maxim AGL","3",83.9604481335666,80.2010122966306,3.75943583693602,"T + 1.5"
"Bardiya, Nepal 2017","Ne17","South Asia",12,"CDC Maxim AGL","3",93.8063559228142,89.138007455817,4.66834846699722,"T + 1.5"
"Cordoba, Spain 2017","Sp17","Mediterranean",12,"CDC Maxim AGL","3",119.255017619243,111.810648379602,7.44436923964128,"T + 1.5"
"Marchouch, Morocco 2017","Mo17","Mediterranean",12,"CDC Maxim AGL","3",108.569231922382,102.364483948827,6.20474797355573,"T + 1.5"
"Metaponto, Italy 2017","It17","Mediterranean",12,"CDC Maxim AGL","3",131.43686937248,122.451240551853,8.9856288206275,"T + 1.5"
"Rosthern, Canada 2017","Ro17","Temperate",13,"CDC QG-1 AGL","8",51.0957543793006,49.5497363058153,1.54601807348532,"T + 1.5"
"Sutherland, Canada 2017","Su17","Temperate",13,"CDC QG-1 AGL","8",54.642336761176,52.8779559501846,1.76438081099137,"T + 1.5"
"Central Ferry, USA 2018","Us18","Temperate",13,"CDC QG-1 AGL","8",66.1526226998389,63.5840966415495,2.56852605828945,"T + 1.5"
"Bhopal, India 2017","In17","South Asia",13,"CDC QG-1 AGL","8",94.1560797138356,89.0368283711136,5.11925134272205,"T + 1.5"
"Jessore, Bangladesh 2017","Ba17","South Asia",13,"CDC QG-1 AGL","8",86.1625860884887,81.8557690534992,4.30681703498955,"T + 1.5"
"Bardiya, Nepal 2017","Ne17","South Asia",13,"CDC QG-1 AGL","8",96.980859484018,91.5586792256112,5.4221802584068,"T + 1.5"
"Cordoba, Spain 2017","Sp17","Mediterranean",13,"CDC QG-1 AGL","8",129.631606451595,120.122825444666,9.50878100692957,"T + 1.5"
"Marchouch, Morocco 2017","Mo17","Mediterranean",13,"CDC QG-1 AGL","8",118.0422967132,110.105673682164,7.93662303103621,"T + 1.5"
"Metaponto, Italy 2017","It17","Mediterranean",13,"CDC QG-1 AGL","8",143.407757940874,131.860575770121,11.5471821707532,"T + 1.5"
"Rosthern, Canada 2017","Ro17","Temperate",14,"CDC Red Rider AGL","8",50.4402852606114,49.0068881645625,1.43339709604886,"T + 1.5"
"Sutherland, Canada 2017","Su17","Temperate",14,"CDC Red Rider AGL","8",53.7919605230838,52.1648131520688,1.62714737101497,"T + 1.5"
"Central Ferry, USA 2018","Us18","Temperate",14,"CDC Red Rider AGL","8",64.9681193681935,62.6094239517121,2.35869541648145,"T + 1.5"
"Bhopal, India 2017","In17","South Asia",14,"CDC Red Rider AGL","8",92.8118153820316,88.071880279572,4.73993510245964,"T + 1.5"
"Jessore, Bangladesh 2017","Ba17","South Asia",14,"CDC Red Rider AGL","8",85.1849119353968,81.1751583629399,4.0097535724569,"T + 1.5"
"Bardiya, Nepal 2017","Ne17","South Asia",14,"CDC Red Rider AGL","8",95.3251967662504,90.3319725951157,4.99322417113476,"T + 1.5"
"Cordoba, Spain 2017","Sp17","Mediterranean",14,"CDC Red Rider AGL","8",124.174701976852,115.834028016782,8.34067396006989,"T + 1.5"
"Marchouch, Morocco 2017","Mo17","Mediterranean",14,"CDC Red Rider AGL","8",113.493468137553,106.485483604388,7.007984533165,"T + 1.5"
"Metaponto, Italy 2017","It17","Mediterranean",14,"CDC Red Rider AGL","8",136.603793266491,126.57727048019,10.0265227863009,"T + 1.5"
"Rosthern, Canada 2017","Ro17","Temperate",15,"CDC Redcoat AGL","7",50.5087640515748,49.4547201984409,1.05404385313393,"T + 1.5"
"Sutherland, Canada 2017","Su17","Temperate",15,"CDC Redcoat AGL","7",53.3911108998951,52.214734718705,1.17637618119009,"T + 1.5"
"Central Ferry, USA 2018","Us18","Temperate",15,"CDC Redcoat AGL","7",65.0066770294052,63.271085812972,1.73559121643315,"T + 1.5"
"Bhopal, India 2017","In17","South Asia",15,"CDC Redcoat AGL","7",100.162909316829,96.1011004737749,4.06180884305378,"T + 1.5"
"Jessore, Bangladesh 2017","Ba17","South Asia",15,"CDC Redcoat AGL","7",92.1179315879952,88.671173348175,3.44675823982021,"T + 1.5"
"Bardiya, Nepal 2017","Ne17","South Asia",15,"CDC Redcoat AGL","7",101.691674065372,97.507519726721,4.18415433865125,"T + 1.5"
"Cordoba, Spain 2017","Sp17","Mediterranean",15,"CDC Redcoat AGL","7",121.506849821858,115.580730575536,5.92611924632102,"T + 1.5"
"Marchouch, Morocco 2017","Mo17","Mediterranean",15,"CDC Redcoat AGL","7",111.011483792759,106.04398099799,4.9675027947693,"T + 1.5"
"Metaponto, Italy 2017","It17","Mediterranean",15,"CDC Redcoat AGL","7",132.857463883446,125.804582065525,7.05288181792139,"T + 1.5"
"Rosthern, Canada 2017","Ro17","Temperate",16,"CDC Redwing AGL","7",49.1016666693561,48.0945385566654,1.00712811269075,"T + 1.5"
"Sutherland, Canada 2017","Su17","Temperate",16,"CDC Redwing AGL","7",51.9236600559414,50.7987671111925,1.12489294474894,"T + 1.5"
"Central Ferry, USA 2018","Us18","Temperate",16,"CDC Redwing AGL","7",63.6257724938109,61.9449128981733,1.68085959563762,"T + 1.5"
"Bhopal, India 2017","In17","South Asia",16,"CDC Redwing AGL","7",100.598837728278,96.460415351488,4.13842237679,"T + 1.5"
"Jessore, Bangladesh 2017","Ba17","South Asia",16,"CDC Redwing AGL","7",92.1802062818347,88.693447257681,3.48675902415368,"T + 1.5"
"Bardiya, Nepal 2017","Ne17","South Asia",16,"CDC Redwing AGL","7",102.065202192868,97.8078071953898,4.25739499747779,"T + 1.5"
"Cordoba, Spain 2017","Sp17","Mediterranean",16,"CDC Redwing AGL","7",121.898891767469,115.874933188635,6.02395857883363,"T + 1.5"
"Marchouch, Morocco 2017","Mo17","Mediterranean",16,"CDC Redwing AGL","7",110.798262129029,105.798985432133,4.99927669689643,"T + 1.5"
"Metaponto, Italy 2017","It17","Mediterranean",16,"CDC Redwing AGL","7",133.935750196572,126.69870297322,7.23704722335256,"T + 1.5"
"Rosthern, Canada 2017","Ro17","Temperate",17,"CDC Robin AGL","7",47.3410426012862,46.0406025777832,1.30044002350299,"T + 1.5"
"Sutherland, Canada 2017","Su17","Temperate",17,"CDC Robin AGL","7",50.5111314780145,49.0334162147758,1.47771526323867,"T + 1.5"
"Central Ferry, USA 2018","Us18","Temperate",17,"CDC Robin AGL","7",61.8086373357255,59.6103602865516,2.19827704917385,"T + 1.5"
"Bhopal, India 2017","In17","South Asia",17,"CDC Robin AGL","7",92.8387402469092,87.9661878253289,4.87255242158031,"T + 1.5"
"Jessore, Bangladesh 2017","Ba17","South Asia",17,"CDC Robin AGL","7",84.6121194829905,80.545929362023,4.06619012096745,"T + 1.5"
"Bardiya, Nepal 2017","Ne17","South Asia",17,"CDC Robin AGL","7",95.2625898845283,90.1393095346552,5.12328034987314,"T + 1.5"
"Cordoba, Spain 2017","Sp17","Mediterranean",17,"CDC Robin AGL","7",124.311756129538,115.728279880793,8.58347624874482,"T + 1.5"
"Marchouch, Morocco 2017","Mo17","Mediterranean",17,"CDC Robin AGL","7",112.396800211195,105.333129505287,7.06367070590791,"T + 1.5"
"Metaponto, Italy 2017","It17","Mediterranean",17,"CDC Robin AGL","7",138.204114593646,127.676198248091,10.5279163455549,"T + 1.5"
"Rosthern, Canada 2017","Ro17","Temperate",18,"CDC Rosebud AGL","3",48.6833805473913,46.6531441957429,2.03023635164838,"T + 1.5"
"Sutherland, Canada 2017","Su17","Temperate",18,"CDC Rosebud AGL","3",52.6986045707226,50.3278195012552,2.37078506946734,"T + 1.5"
"Central Ferry, USA 2018","Us18","Temperate",18,"CDC Rosebud AGL","3",62.1847580151707,58.9101520704663,3.27460594470442,"T + 1.5"
"Bhopal, India 2017","In17","South Asia",18,"CDC Rosebud AGL","3",76.72870349783,71.8038794115617,4.9248240862683,"T + 1.5"
"Jessore, Bangladesh 2017","Ba17","South Asia",18,"CDC Rosebud AGL","3",70.5176893030637,66.3361762141065,4.18151308895719,"T + 1.5"
"Bardiya, Nepal 2017","Ne17","South Asia",18,"CDC Rosebud AGL","3",80.1157026847068,74.7616633799388,5.35403930476804,"T + 1.5"
"Cordoba, Spain 2017","Sp17","Mediterranean",18,"CDC Rosebud AGL","3",119.250785021061,107.763488254143,11.4872967669178,"T + 1.5"
"Marchouch, Morocco 2017","Mo17","Mediterranean",18,"CDC Rosebud AGL","3",109.868419441719,100.043135190645,9.8252842510736,"T + 1.5"
"Metaponto, Italy 2017","It17","Mediterranean",18,"CDC Rosebud AGL","3",131.659691883702,117.796301788182,13.8633900955203,"T + 1.5"
"Rosthern, Canada 2017","Ro17","Temperate",19,"CDC Rosetown AGL","8",52.4818279889097,51.1341452689078,1.34768272000194,"T + 1.5"
"Sutherland, Canada 2017","Su17","Temperate",19,"CDC Rosetown AGL","8",55.7444255319791,54.2263971203161,1.51802841166299,"T + 1.5"
"Central Ferry, USA 2018","Us18","Temperate",19,"CDC Rosetown AGL","8",67.1273731233765,64.9382609702593,2.18911215311718,"T + 1.5"
"Bhopal, India 2017","In17","South Asia",19,"CDC Rosetown AGL","8",96.5886942083016,92.1203209631824,4.46837324511917,"T + 1.5"
"Jessore, Bangladesh 2017","Ba17","South Asia",19,"CDC Rosetown AGL","8",89.0152959260702,85.2063541978059,3.80894172826424,"T + 1.5"
"Bardiya, Nepal 2017","Ne17","South Asia",19,"CDC Rosetown AGL","8",98.7919258699136,94.1223040763594,4.66962179355419,"T + 1.5"
"Cordoba, Spain 2017","Sp17","Mediterranean",19,"CDC Rosetown AGL","8",124.116422554904,116.834152703193,7.28226985171042,"T + 1.5"
"Marchouch, Morocco 2017","Mo17","Mediterranean",19,"CDC Rosetown AGL","8",113.974894888232,107.804488753154,6.17040613507892,"T + 1.5"
"Metaponto, Italy 2017","It17","Mediterranean",19,"CDC Rosetown AGL","8",135.556797128684,126.916902074594,8.63989505409035,"T + 1.5"
"Rosthern, Canada 2017","Ro17","Temperate",20,"CDC Rouleau AGL","7",49.7200913452441,48.5092429443771,1.21084840086694,"T + 1.5"
"Sutherland, Canada 2017","Su17","Temperate",20,"CDC Rouleau AGL","7",52.8050479922172,51.441340958209,1.36370703400822,"T + 1.5"
"Central Ferry, USA 2018","Us18","Temperate",20,"CDC Rouleau AGL","7",64.3681374843257,62.3531933886522,2.01494409567357,"T + 1.5"
"Bhopal, India 2017","In17","South Asia",20,"CDC Rouleau AGL","7",97.3585164735187,92.8216441035311,4.53687236998763,"T + 1.5"
"Jessore, Bangladesh 2017","Ba17","South Asia",20,"CDC Rouleau AGL","7",89.1898127228495,85.3673739997597,3.82243872308973,"T + 1.5"
"Bardiya, Nepal 2017","Ne17","South Asia",20,"CDC Rouleau AGL","7",99.3982024306553,94.6738537428601,4.72434868779521,"T + 1.5"
"Cordoba, Spain 2017","Sp17","Mediterranean",20,"CDC Rouleau AGL","7",124.131018228161,116.84920654475,7.28181168341095,"T + 1.5"
"Marchouch, Morocco 2017","Mo17","Mediterranean",20,"CDC Rouleau AGL","7",112.957351164833,106.8954734308,6.06187773403344,"T + 1.5"
"Metaponto, Italy 2017","It17","Mediterranean",20,"CDC Rouleau AGL","7",136.685029957832,127.907916074178,8.77711388365398,"T + 1.5"
"Rosthern, Canada 2017","Ro17","Temperate",21,"CDC Royale AGL","7",49.4698183039699,47.9502488835006,1.51956942046934,"T + 1.5"
"Sutherland, Canada 2017","Su17","Temperate",21,"CDC Royale AGL","7",52.8875604320598,51.1544496829778,1.733110749082,"T + 1.5"
"Central Ferry, USA 2018","Us18","Temperate",21,"CDC Royale AGL","7",63.592012857092,61.1028494954543,2.48916336163775,"T + 1.5"
"Bhopal, India 2017","In17","South Asia",21,"CDC Royale AGL","7",88.3066335089793,83.5786284465904,4.72800506238892,"T + 1.5"
"Jessore, Bangladesh 2017","Ba17","South Asia",21,"CDC Royale AGL","7",81.0928933823771,77.0882806833078,4.00461269906931,"T + 1.5"
"Bardiya, Nepal 2017","Ne17","South Asia",21,"CDC Royale AGL","7",90.9844496806591,85.9734879783033,5.01096170235571,"T + 1.5"
"Cordoba, Spain 2017","Sp17","Mediterranean",21,"CDC Royale AGL","7",121.358624292839,112.604443010684,8.75418128215543,"T + 1.5"
"Marchouch, Morocco 2017","Mo17","Mediterranean",21,"CDC Royale AGL","7",111.116972386569,103.733053360929,7.38391902564031,"T + 1.5"
"Metaponto, Italy 2017","It17","Mediterranean",21,"CDC Royale AGL","7",133.53055119599,123.008394696745,10.5221564992453,"T + 1.5"
"Rosthern, Canada 2017","Ro17","Temperate",22,"CDC Ruby AGL","3",47.6601322381048,45.639348783724,2.02078345438084,"T + 1.5"
"Sutherland, Canada 2017","Su17","Temperate",22,"CDC Ruby AGL","3",51.6038874751883,49.2431207084622,2.36076676672607,"T + 1.5"
