"Entry","Name","a","b","c","RR","Environments","aP","bP","cP"
70,"ILL 3025 AGL",-0.0201217862173026,0.000383589760948331,0.00228125882020459,0.903182172586491,18,2.92360505703074e-23,1.32864181464773e-09,2.58720711697798e-33
71,"ILL 313 AGL",-0.021913682647779,0.000293963191091365,0.0024162703585228,0.924282542616364,16,5.80718307905815e-27,4.80842612953998e-08,7.84283841958724e-38
72,"ILL 3347 AGL",-0.0191831105498512,0.000437812758421594,0.00214483940254739,0.858355301132281,18,9.95596269526102e-18,2.87011216187124e-08,1.54174875122059e-27
73,"ILL 358 AGL",-0.0213612757928372,0.000311160193034609,0.00238784373764569,0.890516745230617,18,4.21214280687606e-25,5.63387674881812e-08,1.85135186467694e-35
74,"ILL 3597 AGL",-0.0215834524455359,0.000335144554487024,0.00243194147592646,0.919909373053623,18,9.7348048869252e-25,2.82008458434552e-08,8.74856497564811e-35
75,"ILL 4164 AGL",-0.0206294000703119,0.000224187102819672,0.0024353198934774,0.903410876138494,15,9.03870762447779e-25,2.52410123056558e-05,3.09103420238884e-37
76,"ILL 4400 AGL",-0.0198911470605223,0.000308645014939964,0.00222159842162313,0.914293333314797,15,7.70665707897779e-24,6.81923924842304e-08,4.82102607556966e-35
77,"ILL 4605 AGL",-0.0149022284971595,0.000698806402896576,0.00155075966181536,0.749468234267266,18,5.13814956527628e-08,1.56409876898411e-08,7.26763957651314e-14
78,"ILL 4609 AGL",-0.0212430819210399,0.000243819170694588,0.00240961015803164,0.905753786312947,16,2.57241467322585e-24,2.59716812837278e-05,1.97950727083264e-34
79,"ILL 4665 AGL",-0.0190150272587902,0.000361151037965179,0.00208461167895839,0.872054314415277,18,2.63830269306384e-19,2.92855220039528e-07,2.61284447295151e-28
80,"ILL 4671 AGL",-0.018582624563664,0.000282210117493365,0.00213489689079541,0.910259306472681,15,2.1099610766637e-22,1.20064450735373e-06,9.44691355482757e-33
81,"ILL 4768 AGL",-0.0211982658190053,0.000417841038148608,0.00236577926764804,0.758785979244303,18,1.09875027411243e-15,5.14029447835688e-06,1.9911241815959e-25
82,"ILL 4782 AGL",-0.0217329674655727,0.000450765163724212,0.00237641903855986,0.796022209404575,18,1.66977007494683e-16,6.55068831209733e-07,1.11937717498069e-25
83,"ILL 4783 AGL",-0.0187448202217303,0.00035861271372547,0.00201317720816914,0.872876356470106,16,1.66907953461764e-20,3.28131275579372e-08,3.15103436942134e-30
84,"ILL 4804 AGL",-0.0215479713518684,0.000292975481741178,0.00241708284917475,0.903693539718213,17,2.99422294655484e-26,2.43272701013679e-08,2.06908326557026e-36
85,"ILL 4875 AGL",-0.01824611283589,0.00038699076021458,0.00191345783261528,0.914381062433833,15,5.18726427733997e-23,4.55847146932043e-11,1.41927508248382e-32
86,"ILL 4956 AGL",-0.0196960207211073,0.000421643702100093,0.00203517304181256,0.90163349997258,17,9.54285515485907e-23,4.09718953824304e-11,3.21314463963424e-31
87,"ILL 5058 AGL",-0.0174791015134975,0.000281138688804235,0.00198197558025128,0.876409423532028,14,1.11249798664225e-18,5.34962529965136e-06,1.04829151847615e-29
88,"ILL 5151 AGL",-0.0197679890563761,0.000235101955764912,0.00233366941425511,0.89601881436284,16,2.57068241483009e-23,3.37021818341087e-05,7.41677056649841e-35
89,"ILL 5209 AGL",-0.0200050933158994,0.000232911616839259,0.00237057124810163,0.856971439683427,17,5.58260704507724e-22,5.31515661730519e-05,2.25501632137316e-33
90,"ILL 5480 AGL",-0.0183241316299704,0.000413105976712591,0.00191943784055352,0.859324955271071,18,6.79258662622557e-20,1.21695913799526e-09,2.77995466796082e-28
91,"ILL 5639 AGL",-0.0206480059478978,0.00038309385967882,0.00223981027336222,0.777321776806546,17,9.1151453685491e-17,4.16188510095901e-06,5.87056592266226e-26
92,"ILL 5722 AGL",-0.0229876094278461,0.000701509817461331,0.00214402323621217,0.850248320055044,18,1.92989609222592e-17,1.07172458163271e-11,4.85510148935482e-24
